ymdh,wl
2020070101,5.21
2020070102,5.02
2020070103,4.98
2020070104,5.00
2020070105,5.05
2020070106,5.09
2020070107,5.11
2020070108,5.12
2020070109,5.11
2020070110,5.09
2020070111,5.05
2020070112,5.01
2020070113,4.97
2020070114,4.93
2020070115,4.92
2020070116,4.98
2020070117,4.99
2020070118,5.03
2020070119,5.14
2020070120,5.24
2020070121,5.17
2020070122,5.13
2020070123,5.08
2020070124,4.99
2020070201,4.94
2020070202,4.86
2020070203,4.79
2020070204,4.82
2020070205,4.84
2020070206,4.85
2020070207,4.94
2020070208,4.99
2020070209,5.00
2020070210,4.96
2020070211,4.95
2020070212,4.93
2020070213,4.88
2020070214,4.81
2020070215,4.77
2020070216,4.78
2020070217,4.77
2020070218,4.78
2020070219,4.82
2020070220,4.92
2020070221,4.95
2020070222,4.98
2020070223,4.99
2020070224,4.94
2020070301,4.89
2020070302,4.85
2020070303,4.80
2020070304,4.78
2020070305,4.84
2020070306,4.85
2020070307,4.84
2020070308,4.80
2020070309,4.91
2020070310,4.93
2020070311,4.88
2020070312,4.87
2020070313,4.86
2020070314,4.89
2020070315,4.95
2020070316,4.95
2020070317,4.92
2020070318,4.93
2020070319,4.91
2020070320,4.91
2020070321,5.01
2020070322,5.08
2020070323,5.07
2020070324,5.03
2020070401,4.94
2020070402,4.92
2020070403,4.85
2020070404,4.80
2020070405,4.76
2020070406,4.88
2020070407,4.88
2020070408,4.90
2020070409,4.88
2020070410,4.88
2020070411,4.92
2020070412,4.94
2020070413,4.90
2020070414,4.89
2020070415,4.89
2020070416,4.88
2020070417,4.90
2020070418,4.89
2020070419,4.89
2020070420,4.89
2020070421,4.90
2020070422,4.98
2020070423,5.00
2020070424,5.01
2020070501,4.93
2020070502,4.90
2020070503,4.90
2020070504,4.90
2020070505,4.86
2020070506,4.85
2020070507,4.87
2020070508,4.87
2020070509,4.87
2020070510,4.89
2020070511,4.95
2020070512,5.01
2020070513,4.96
2020070514,4.94
2020070515,4.90
2020070516,4.89
2020070517,4.91
2020070518,4.88
2020070519,4.86
2020070520,4.85
2020070521,4.86
2020070522,4.98
2020070523,5.01
2020070524,5.02
2020070601,5.01
2020070602,4.98
2020070603,4.93
2020070604,4.91
2020070605,4.94
2020070606,4.95
2020070607,4.95
2020070608,4.90
2020070609,4.90
2020070610,4.92
2020070611,5.02
2020070612,5.07
2020070613,5.05
2020070614,4.98
2020070615,4.95
2020070616,4.91
2020070617,4.85
2020070618,4.81
2020070619,4.76
2020070620,4.80
2020070621,4.78
2020070622,4.81
2020070623,4.87
2020070624,4.88
2020070701,4.87
2020070702,4.88
2020070703,4.87
2020070704,4.93
2020070705,5.04
2020070706,5.02
2020070707,4.91
2020070708,4.91
2020070709,4.84
2020070710,4.86
2020070711,5.03
2020070712,5.10
2020070713,5.09
2020070714,5.00
2020070715,4.96
2020070716,4.97
2020070717,4.95
2020070718,4.90
2020070719,4.80
