ymdh,wl
2018070101,1.69
2018070102,1.69
2018070103,1.68
2018070104,1.67
2018070105,1.64
2018070106,1.64
2018070107,1.66
2018070108,1.78
2018070109,1.79
2018070110,1.83
2018070111,1.90
2018070112,1.97
2018070113,1.99
2018070114,2.00
2018070115,2.03
2018070116,2.08
2018070117,2.10
2018070118,2.07
2018070119,2.05
2018070120,2.05
2018070121,2.14
2018070122,2.21
2018070123,2.28
2018070124,2.35
2018070201,2.41
2018070202,2.43
2018070203,2.41
2018070204,2.31
2018070205,2.11
2018070206,1.98
2018070207,1.94
2018070208,1.96
2018070209,1.93
2018070210,1.99
2018070211,2.17
2018070212,2.33
2018070213,2.45
2018070214,2.52
2018070215,2.58
2018070216,2.64
2018070217,2.67
2018070218,2.71
2018070219,2.73
2018070220,2.76
2018070221,2.81
2018070222,2.88
2018070223,2.97
2018070224,3.05
2018070301,3.11
2018070302,3.16
2018070303,3.19
2018070304,3.21
2018070305,3.23
2018070306,3.25
2018070307,3.27
2018070308,3.30
2018070309,3.34
2018070310,3.37
2018070311,3.43
2018070312,3.47
2018070313,3.52
2018070314,3.56
2018070315,3.59
2018070316,3.62
2018070317,3.64
2018070318,3.65
2018070319,3.68
2018070320,3.70
2018070321,3.73
2018070322,3.76
2018070323,3.81
2018070324,3.86
2018070401,3.89
2018070402,3.90
2018070403,3.90
2018070404,3.87
2018070405,3.81
2018070406,3.74
2018070407,3.66
2018070408,3.57
2018070409,3.48
2018070410,3.39
2018070411,3.31
2018070412,3.25
2018070413,3.15
2018070414,3.05
2018070415,2.97
2018070416,2.90
2018070417,2.81
2018070418,2.66
2018070419,2.53
2018070420,2.42
2018070421,2.34
2018070422,2.24
2018070423,2.16
2018070424,2.13
2018070501,2.10
2018070502,2.07
2018070503,2.05
2018070504,2.01
2018070505,1.97
2018070506,1.92
2018070507,1.85
2018070508,1.83
2018070509,1.91
2018070510,1.93
2018070511,1.98
2018070512,2.04
2018070513,2.11
2018070514,2.19
2018070515,2.34
2018070516,2.43
2018070517,2.40
2018070518,2.46
2018070519,2.53
2018070520,2.55
2018070521,2.55
2018070522,2.48
2018070523,2.45
2018070524,2.43
2018070601,2.46
2018070602,2.50
2018070603,2.52
2018070604,2.51
2018070605,2.52
2018070606,2.51
2018070607,2.48
2018070608,2.45
2018070609,2.41
2018070610,2.38
2018070611,2.33
2018070612,2.31
2018070613,2.28
2018070614,2.27
2018070615,2.26
2018070616,2.23
2018070617,2.12
2018070618,2.02
2018070619,1.90
2018070620,1.79
2018070621,1.80
2018070622,1.82
2018070623,1.86
2018070624,1.91
2018070701,1.92
2018070702,1.95
2018070703,1.97
2018070704,1.99
2018070705,1.99
2018070706,1.98
2018070707,1.95
2018070708,1.91
2018070709,1.85
2018070710,1.80
2018070711,1.74
2018070712,1.68
2018070713,1.63
2018070714,1.63
2018070715,1.67
2018070716,1.71
2018070717,1.73
2018070718,1.76
2018070719,1.77
2018070720,1.76
2018070721,1.73
2018070722,1.69
2018070723,1.66
2018070724,1.64
2018070801,1.64
2018070802,1.64
2018070803,1.67
2018070804,1.72
2018070805,1.74
2018070806,1.75
2018070807,1.70
2018070808,1.68
2018070809,1.67
2018070810,1.67
2018070811,1.64
2018070812,1.62
2018070813,1.60
2018070814,1.60
2018070815,1.60
2018070816,1.59
2018070817,1.59
2018070818,1.62
2018070819,1.63
2018070820,1.63
2018070821,1.62
