ymdh,wl
2017070101,1.13
2017070102,1.12
2017070103,1.13
2017070104,1.15
2017070105,1.15
2017070106,1.11
2017070107,1.08
2017070108,1.08
2017070109,1.07
2017070110,1.07
2017070111,1.06
2017070112,1.05
2017070113,1.04
2017070114,1.05
2017070115,1.04
2017070116,1.05
2017070117,1.07
2017070118,1.07
2017070119,1.07
2017070120,1.06
2017070121,1.05
2017070122,1.05
2017070123,1.10
2017070124,1.11
2017070201,1.14
2017070202,1.13
2017070203,1.12
2017070204,1.13
2017070205,1.10
2017070206,1.12
2017070207,1.11
2017070208,1.10
2017070209,1.09
2017070210,1.11
2017070211,1.10
2017070212,1.10
2017070213,1.14
2017070214,1.15
2017070215,1.18
2017070216,1.16
2017070217,1.15
2017070218,1.14
2017070219,1.10
2017070220,1.08
2017070221,1.05
2017070222,1.10
2017070223,1.14
2017070224,1.12
2017070301,1.11
2017070302,1.14
2017070303,1.13
2017070304,1.15
2017070305,1.15
2017070306,1.16
2017070307,1.16
2017070308,1.16
2017070309,1.14
2017070310,1.15
2017070311,1.16
2017070312,1.16
2017070313,1.10
2017070314,1.09
2017070315,1.08
2017070316,1.08
2017070317,1.07
2017070318,1.04
2017070319,1.09
2017070320,1.13
2017070321,1.17
2017070322,1.21
2017070323,1.19
2017070324,1.19
2017070401,1.21
2017070402,1.18
2017070403,1.16
2017070404,1.16
2017070405,1.20
2017070406,1.23
2017070407,1.29
2017070408,1.27
2017070409,1.25
2017070410,1.31
2017070411,1.38
2017070412,1.33
2017070413,1.23
2017070414,1.18
2017070415,1.15
2017070416,1.23
2017070417,1.25
2017070418,1.22
2017070419,1.24
2017070420,1.34
2017070421,1.42
2017070422,1.37
2017070423,1.31
2017070424,1.25
2017070501,1.16
2017070502,1.12
2017070503,1.07
2017070504,1.05
2017070505,1.08
2017070506,1.07
2017070507,1.08
2017070508,1.06
2017070509,1.03
2017070510,1.02
2017070511,1.01
2017070512,1.07
2017070513,1.06
2017070514,1.07
2017070515,1.09
2017070516,1.11
2017070517,1.07
2017070518,1.02
2017070519,1.00
2017070520,1.08
2017070521,1.13
2017070522,1.12
2017070523,1.06
2017070524,1.12
2017070601,1.11
2017070602,1.14
2017070603,1.15
2017070604,1.15
2017070605,1.08
2017070606,1.01
2017070607,.97
2017070608,1.01
2017070609,1.09
2017070610,1.10
2017070611,1.03
2017070612,1.00
2017070613,1.05
2017070614,1.09
2017070615,1.15
2017070616,1.08
2017070617,1.05
2017070618,1.09
2017070619,1.11
2017070620,1.17
2017070621,1.15
2017070622,1.12
2017070623,1.14
2017070624,1.13
2017070701,1.10
2017070702,1.09
2017070703,1.08
2017070704,1.08
2017070705,1.08
2017070706,1.08
2017070707,1.07
2017070708,1.08
2017070709,1.10
2017070710,1.12
2017070711,1.09
2017070712,1.07
2017070713,1.08
2017070714,1.10
2017070715,1.07
2017070716,1.07
2017070717,1.06
2017070718,1.05
2017070719,1.07
2017070720,1.11
2017070721,1.14
2017070722,1.16
2017070723,1.17
2017070724,1.18
2017070801,1.14
2017070802,1.12
2017070803,1.12
2017070804,1.08
2017070805,1.06
2017070806,1.04
2017070807,1.03
2017070808,1.03
2017070809,1.09
2017070810,1.14
2017070811,1.13
2017070812,1.10
2017070813,1.09
2017070814,1.13
2017070815,1.15
2017070816,1.12
2017070817,1.09
2017070818,1.06
2017070819,1.07
2017070820,1.08
2017070821,1.17
2017070822,1.21
2017070823,1.24
2017070824,1.24
2017070901,1.22
2017070902,1.18
2017070903,1.12
2017070904,1.08
2017070905,1.05
2017070906,1.04
2017070907,1.05
2017070908,1.06
2017070909,1.09
2017070910,1.13
2017070911,1.19
2017070912,1.18
2017070913,1.14
2017070914,1.09
2017070915,1.09
2017070916,1.08
2017070917,1.10
2017070918,1.09
2017070919,1.07
2017070920,1.01
2017070921,1.16
2017070922,1.20
2017070923,1.25
2017070924,1.24
2017071001,1.25
2017071002,1.25
2017071003,1.23
2017071004,1.19
2017071005,1.14
2017071006,1.05
2017071007,1.03
2017071008,.94
2017071009,.99
2017071010,1.06
2017071011,1.13
2017071012,1.11
2017071013,1.06
2017071014,1.06
2017071015,1.10
2017071016,1.14
2017071017,1.13
2017071018,1.10
2017071019,1.10
2017071020,1.10
2017071021,1.14
2017071022,1.17
2017071023,1.21
2017071024,1.20
2017071101,1.21
2017071102,1.22
2017071103,1.20
2017071104,1.15
2017071105,1.11
2017071106,1.05
2017071107,1.00
2017071108,.97
2017071109,1.00
2017071110,1.08
2017071111,1.17
2017071112,1.17
2017071113,1.17
2017071114,1.17
2017071115,1.11
2017071116,1.03
2017071117,.97
2017071118,.99
2017071119,1.10
2017071120,1.09
2017071121,1.10
2017071122,1.09
2017071123,1.13
2017071124,1.18
2017071201,1.23
2017071202,1.26
2017071203,1.22
2017071204,1.14
2017071205,1.08
2017071206,1.00
2017071207,.94
2017071208,.90
2017071209,.94
2017071210,1.00
2017071211,1.06
2017071212,1.07
2017071213,1.07
2017071214,1.07
2017071215,1.07
2017071216,1.00
2017071217,.98
2017071218,.95
2017071219,.98
2017071220,1.07
2017071221,1.07
2017071222,1.01
2017071223,1.00
2017071224,1.02
2017071301,1.07
2017071302,1.08
2017071303,1.05
