ymdh,rf
2014010101,0
2014010102,0
2014010103,0
2014010104,0
2014010105,0
2014010106,0
2014010107,0
2014010108,0
2014010109,0
2014010110,0
2014010111,0
2014010112,0
2014010113,0
2014010114,0
2014010115,0
2014010116,0
2014010117,0
2014010118,0
2014010119,0
2014010120,0
2014010121,0
2014010122,0
2014010123,0
2014010124,0
2014010201,0
2014010202,0
2014010203,0
2014010204,0
2014010205,0
2014010206,0
2014010207,0
2014010208,0
2014010209,0
2014010210,0
2014010211,0
2014010212,0
2014010213,0
2014010214,0
2014010215,0
2014010216,0
2014010217,0
2014010218,0
2014010219,0
2014010220,0
2014010221,0
2014010222,0
2014010223,0
2014010224,0
2014010301,0
2014010302,0
2014010303,0
2014010304,0
2014010305,0
2014010306,0
2014010307,0
2014010308,0
2014010309,0
2014010310,0
2014010311,0
2014010312,0
2014010313,0
2014010314,0
2014010315,0
2014010316,0
2014010317,0
2014010318,0
2014010319,0
2014010320,0
2014010321,0
2014010322,0
2014010323,0
2014010324,0
2014010401,0
2014010402,0
2014010403,0
2014010404,0
2014010405,0
2014010406,0
2014010407,0
2014010408,0
2014010409,0
2014010410,0
2014010411,0
2014010412,0
2014010413,0
2014010414,0
2014010415,0
2014010416,0
2014010417,0
2014010418,0
2014010419,0
2014010420,0
2014010421,0
2014010422,0
2014010423,0
2014010424,0
2014010501,0
2014010502,0
2014010503,0
2014010504,0
2014010505,0
2014010506,0
2014010507,0
2014010508,0
2014010509,0
2014010510,0
2014010511,0
2014010512,0
2014010513,0
2014010514,0
2014010515,0
2014010516,0
2014010517,0
2014010518,0
2014010519,0
2014010520,0
2014010521,0
2014010522,0
2014010523,0
2014010524,0
2014010601,0
2014010602,0
2014010603,0
2014010604,0
2014010605,0
2014010606,0
2014010607,0
2014010608,0
2014010609,0
2014010610,0
2014010611,0
2014010612,0
2014010613,0
2014010614,0
2014010615,0
2014010616,0
2014010617,0
2014010618,0
2014010619,0
2014010620,0
2014010621,0
2014010622,0
2014010623,0
2014010624,0
2014010701,0
2014010702,0
2014010703,0
2014010704,0
2014010705,0
2014010706,0
2014010707,0
2014010708,0
2014010709,0
2014010710,0
2014010711,0
2014010712,0
2014010713,0
2014010714,0
2014010715,0
2014010716,0
2014010717,0
2014010718,0
2014010719,0
2014010720,0
2014010721,0
2014010722,0
2014010723,0
2014010724,0
2014010801,0
2014010802,0
2014010803,0
2014010804,0
2014010805,0
2014010806,0
2014010807,0
2014010808,0
2014010809,0
2014010810,0
2014010811,1
2014010812,1
2014010813,1
