ymdh,rf
2015010101,0
2015010102,0
2015010103,0
2015010104,0
2015010105,0
2015010106,0
2015010107,0
2015010108,0
2015010109,0
2015010110,0
2015010111,0
2015010112,0
2015010113,0
2015010114,0
2015010115,0
2015010116,0
2015010117,0
2015010118,0
2015010119,0
2015010120,0
2015010121,0
2015010122,0
2015010123,0
2015010124,0
2015010201,0
2015010202,0
2015010203,0
2015010204,0
2015010205,0
2015010206,0
2015010207,0
2015010208,0
2015010209,0
2015010210,0
2015010211,0
2015010212,0
2015010213,0
2015010214,0
2015010215,0
2015010216,0
2015010217,0
2015010218,0
2015010219,0
2015010220,0
2015010221,0
2015010222,0
2015010223,0
2015010224,0
2015010301,0
2015010302,0
2015010303,0
2015010304,0
2015010305,0
2015010306,0
2015010307,0
2015010308,0
2015010309,0
2015010310,0
2015010311,0
2015010312,0
2015010313,0
2015010314,0
2015010315,0
2015010316,0
2015010317,0
2015010318,0
2015010319,0
2015010320,0
2015010321,0
2015010322,0
2015010323,0
2015010324,0
2015010401,0
2015010402,0
2015010403,0
2015010404,0
2015010405,0
2015010406,0
2015010407,0
2015010408,0
2015010409,0
2015010410,0
2015010411,0
2015010412,0
2015010413,0
2015010414,0
2015010415,0
2015010416,0
2015010417,0
2015010418,0
2015010419,0
2015010420,0
2015010421,0
2015010422,0
2015010423,0
2015010424,0
2015010501,0
2015010502,0
2015010503,0
2015010504,0
2015010505,0
2015010506,0
2015010507,0
2015010508,0
2015010509,0
2015010510,0
2015010511,0
2015010512,0
2015010513,0
2015010514,0
2015010515,0
2015010516,0
2015010517,0
2015010518,0
2015010519,0
2015010520,0
2015010521,0
2015010522,0
2015010523,0
2015010524,0
2015010601,0
2015010602,1
2015010603,1
2015010604,0
2015010605,0
2015010606,0
2015010607,0
2015010608,0
2015010609,0
2015010610,0
2015010611,0
2015010612,0
2015010613,0
2015010614,0
2015010615,0
2015010616,0
2015010617,0
2015010618,0
2015010619,0
2015010620,0
2015010621,0
2015010622,0
2015010623,0
2015010624,0
2015010701,0
2015010702,0
2015010703,0
2015010704,0
2015010705,0
2015010706,0
2015010707,0
2015010708,0
2015010709,0
2015010710,0
2015010711,0
2015010712,0
2015010713,0
2015010714,0
2015010715,0
2015010716,0
2015010717,0
2015010718,0
2015010719,0
2015010720,0
2015010721,0
2015010722,0
2015010723,0
2015010724,0
2015010801,0
2015010802,0
2015010803,0
2015010804,0
2015010805,0
2015010806,0
2015010807,0
2015010808,0
2015010809,0
2015010810,0
2015010811,0
2015010812,0
2015010813,0
2015010814,0
2015010815,0
2015010816,0
2015010817,0
2015010818,0
2015010819,0
2015010820,0
2015010821,0
2015010822,0
2015010823,0
2015010824,0
2015010901,0
2015010902,0
2015010903,0
2015010904,0
2015010905,0
2015010906,0
2015010907,0
2015010908,0
2015010909,0
2015010910,0
2015010911,0
2015010912,0
2015010913,0
2015010914,0
2015010915,0
2015010916,0
2015010917,0
2015010918,0
2015010919,0
2015010920,0
2015010921,0
2015010922,0
2015010923,0
2015010924,0
2015011001,0
2015011002,0
2015011003,0
2015011004,0
2015011005,0
2015011006,0
2015011007,0
2015011008,0
2015011009,0
2015011010,0
2015011011,0
2015011012,0
2015011013,0
2015011014,0
2015011015,0
2015011016,0
2015011017,0
2015011018,0
2015011019,0
2015011020,0
2015011021,0
2015011022,0
2015011023,0
2015011024,0
2015011101,0
2015011102,0
2015011103,0
2015011104,0
2015011105,0
2015011106,0
2015011107,0
2015011108,0
2015011109,0
2015011110,0
2015011111,0
2015011112,0
2015011113,0
2015011114,0
2015011115,0
2015011116,0
2015011117,0
2015011118,0
2015011119,0
2015011120,0
2015011121,0
2015011122,0
2015011123,0
2015011124,0
2015011201,0
2015011202,0
2015011203,0
2015011204,0
2015011205,0
2015011206,0
2015011207,0
2015011208,0
2015011209,0
2015011210,0
2015011211,0
2015011212,0
2015011213,0
2015011214,0
2015011215,0
2015011216,0
2015011217,0
2015011218,0
2015011219,0
2015011220,0
2015011221,0
2015011222,0
2015011223,0
2015011224,0
2015011301,0
2015011302,0
2015011303,0
2015011304,0
2015011305,0
2015011306,0
2015011307,0
2015011308,0
2015011309,0
2015011310,0
2015011311,0
2015011312,0
2015011313,0
2015011314,0
2015011315,0
2015011316,0
2015011317,0
2015011318,0
2015011319,0
2015011320,0
2015011321,0
2015011322,0
2015011323,0
2015011324,0
2015011401,0
2015011402,0
2015011403,0
2015011404,0
2015011405,0
2015011406,0
2015011407,0
2015011408,0
2015011409,0
2015011410,0
2015011411,0
2015011412,0
2015011413,0
2015011414,0
2015011415,0
2015011416,0
2015011417,0
2015011418,0
2015011419,0
2015011420,0
2015011421,0
2015011422,0
2015011423,0
2015011424,0
2015011501,0
2015011502,0
2015011503,0
2015011504,0
2015011505,0
2015011506,0
2015011507,0
2015011508,0
2015011509,0
2015011510,0
2015011511,0
2015011512,0
2015011513,0
2015011514,0
2015011515,0
2015011516,0
2015011517,0
2015011518,0
2015011519,0
2015011520,0
2015011521,0
2015011522,0
2015011523,0
2015011524,0
2015011601,0
2015011602,0
2015011603,0
2015011604,0
2015011605,0
2015011606,0
2015011607,0
2015011608,0
2015011609,0
2015011610,0
2015011611,0
2015011612,0
2015011613,0
2015011614,0
2015011615,0
2015011616,0
2015011617,0
2015011618,0
2015011619,0
2015011620,0
2015011621,0
2015011622,0
2015011623,0
2015011624,0
2015011701,0
2015011702,0
2015011703,0
2015011704,0
2015011705,0
2015011706,0
2015011707,0
2015011708,0
2015011709,0
2015011710,0
2015011711,0
2015011712,0
2015011713,0
2015011714,0
2015011715,0
2015011716,0
2015011717,0
2015011718,0
2015011719,0
2015011720,0
2015011721,0
2015011722,0
2015011723,0
2015011724,0
2015011801,0
2015011802,0
2015011803,0
2015011804,0
2015011805,0
2015011806,0
2015011807,0
2015011808,0
2015011809,0
2015011810,0
2015011811,0
2015011812,0
2015011813,0
2015011814,0
2015011815,0
2015011816,0
2015011817,0
2015011818,0
2015011819,1
2015011820,1
2015011821,2
2015011822,1
2015011823,1
2015011824,0
2015011901,0
2015011902,0
2015011903,0
2015011904,0
2015011905,0
2015011906,0
2015011907,0
2015011908,0
