ymdh,wl
2019070101,1.43
2019070102,1.33
2019070103,1.21
2019070104,1.16
2019070105,1.12
2019070106,1.11
2019070107,1.18
2019070108,1.31
2019070109,1.40
2019070110,1.46
2019070111,1.45
2019070112,1.41
2019070113,1.36
2019070114,1.31
2019070115,1.26
2019070116,1.21
2019070117,1.13
2019070118,1.14
2019070119,1.17
2019070120,1.30
2019070121,1.37
2019070122,1.43
2019070123,1.47
2019070124,1.46
2019070201,1.42
2019070202,1.33
2019070203,1.25
2019070204,1.17
2019070205,1.08
2019070206,1.08
2019070207,1.09
2019070208,1.12
2019070209,1.23
2019070210,1.32
2019070211,1.38
2019070212,1.39
2019070213,1.29
2019070214,1.24
2019070215,1.17
2019070216,1.10
2019070217,1.12
2019070218,1.20
2019070219,1.22
2019070220,1.16
2019070221,1.23
2019070222,1.28
2019070223,1.34
2019070224,1.35
2019070301,1.29
2019070302,1.28
2019070303,1.23
2019070304,1.17
2019070305,1.20
2019070306,1.18
2019070307,1.18
2019070308,1.19
2019070309,1.24
2019070310,1.29
2019070311,1.31
2019070312,1.31
2019070313,1.28
2019070314,1.25
2019070315,1.28
2019070316,1.30
2019070317,1.28
2019070318,1.23
2019070319,1.21
2019070320,1.22
2019070321,1.17
2019070322,1.25
2019070323,1.31
2019070324,1.31
2019070401,1.28
2019070402,1.28
2019070403,1.29
2019070404,1.27
2019070405,1.17
2019070406,1.09
2019070407,1.15
2019070408,1.22
2019070409,1.24
2019070410,1.24
2019070411,1.24
2019070412,1.25
2019070413,1.27
2019070414,1.28
2019070415,1.28
2019070416,1.28
2019070417,1.24
2019070418,1.22
2019070419,1.20
2019070420,1.12
2019070421,1.10
2019070422,1.17
2019070423,1.24
2019070424,1.26
2019070501,1.24
2019070502,1.21
2019070503,1.18
2019070504,1.20
2019070505,1.23
2019070506,1.31
2019070507,1.27
2019070508,1.23
2019070509,1.21
2019070510,1.20
2019070511,1.28
2019070512,1.34
2019070513,1.33
2019070514,1.28
2019070515,1.19
2019070516,1.16
2019070517,1.16
2019070518,1.16
2019070519,1.16
2019070520,1.17
2019070521,1.15
2019070522,1.16
2019070523,1.16
2019070524,1.17
2019070601,1.20
2019070602,1.20
2019070603,1.20
2019070604,1.19
2019070605,1.19
2019070606,1.20
2019070607,1.25
2019070608,1.19
2019070609,1.15
2019070610,1.13
2019070611,1.12
2019070612,1.18
2019070613,1.24
2019070614,1.24
2019070615,1.21
2019070616,1.18
2019070617,1.17
2019070618,1.19
2019070619,1.20
2019070620,1.19
2019070621,1.20
2019070622,1.18
2019070623,1.18
2019070624,1.20
2019070701,1.25
2019070702,1.25
2019070703,1.25
2019070704,1.23
2019070705,1.21
2019070706,1.22
2019070707,1.22
2019070708,1.18
2019070709,1.18
2019070710,1.17
2019070711,1.16
2019070712,1.16
2019070713,1.21
2019070714,1.23
2019070715,1.23
2019070716,1.21
2019070717,1.21
2019070718,1.22
2019070719,1.22
2019070720,1.22
2019070721,1.22
2019070722,1.21
2019070723,1.20
2019070724,1.19
2019070801,1.21
2019070802,1.23
2019070803,1.26
2019070804,1.25
2019070805,1.23
2019070806,1.20
2019070807,1.19
2019070808,1.19
2019070809,1.20
2019070810,1.19
2019070811,1.17
2019070812,1.13
2019070813,1.13
2019070814,1.14
2019070815,1.17
2019070816,1.19
2019070817,1.17
2019070818,1.15
2019070819,1.16
2019070820,1.15
2019070821,1.16
2019070822,1.15
2019070823,1.15
2019070824,1.14
2019070901,1.14
2019070902,1.15
2019070903,1.19
2019070904,1.20
2019070905,1.19
2019070906,1.18
2019070907,1.16
2019070908,1.18
2019070909,1.17
2019070910,1.17
2019070911,1.15
2019070912,1.13
2019070913,1.13
2019070914,1.12
2019070915,1.13
2019070916,1.14
2019070917,1.14
2019070918,1.17
2019070919,1.17
2019070920,1.17
2019070921,1.18
2019070922,1.17
2019070923,1.15
2019070924,1.16
2019071001,1.16
2019071002,1.18
2019071003,1.17
2019071004,1.17
2019071005,1.18
2019071006,1.18
2019071007,1.17
2019071008,1.18
2019071009,1.18
2019071010,1.20
2019071011,1.21
2019071012,1.21
2019071013,1.21
2019071014,1.20
2019071015,1.21
2019071016,1.22
2019071017,1.22
2019071018,1.23
2019071019,1.20
2019071020,1.16
2019071021,1.15
2019071022,1.18
2019071023,1.28
2019071024,1.27
2019071101,1.28
2019071102,1.28
2019071103,1.31
2019071104,1.33
2019071105,1.36
2019071106,1.35
2019071107,1.32
2019071108,1.25
2019071109,1.23
2019071110,1.15
2019071111,1.11
2019071112,1.16
2019071113,1.22
2019071114,1.19
2019071115,1.17
2019071116,1.16
2019071117,1.19
2019071118,1.22
2019071119,1.23
2019071120,1.22
2019071121,1.20
2019071122,1.19
2019071123,1.20
2019071124,1.21
2019071201,1.21
2019071202,1.20
2019071203,1.19
2019071204,1.19
2019071205,1.20
2019071206,1.23
2019071207,1.24
2019071208,1.22
2019071209,1.20
2019071210,1.20
2019071211,1.20
2019071212,1.21
2019071213,1.20
2019071214,1.19
2019071215,1.14
2019071216,1.14
2019071217,1.16
2019071218,1.15
2019071219,1.18
2019071220,1.19
2019071221,1.18
2019071222,1.17
2019071223,1.18
2019071224,1.19
2019071301,1.18
2019071302,1.19
2019071303,1.19
2019071304,1.20
2019071305,1.19
2019071306,1.22
2019071307,1.23
2019071308,1.25
2019071309,1.24
2019071310,1.24
2019071311,1.25
2019071312,1.25
2019071313,1.27
2019071314,1.27
2019071315,1.25
2019071316,1.24
2019071317,1.23
2019071318,1.23
2019071319,1.24
2019071320,1.24
2019071321,1.28
2019071322,1.30
2019071323,1.27
2019071324,1.22
2019071401,1.20
2019071402,1.16
2019071403,1.14
2019071404,1.13
2019071405,1.10
2019071406,1.11
2019071407,1.13
2019071408,1.18
2019071409,1.22
2019071410,1.20
2019071411,1.18
2019071412,1.18
2019071413,1.21
2019071414,1.21
2019071415,1.14
2019071416,1.14
2019071417,1.17
2019071418,1.20
2019071419,1.21
2019071420,1.18
2019071421,1.17
2019071422,1.17
2019071423,1.21
2019071424,1.22
2019071501,1.22
2019071502,1.19
2019071503,1.19
2019071504,1.20
2019071505,1.20
2019071506,1.20
2019071507,1.20
2019071508,1.20
2019071509,1.22
2019071510,1.27
2019071511,1.29
2019071512,1.24
2019071513,1.18
2019071514,1.21
2019071515,1.24
2019071516,1.25
2019071517,1.22
2019071518,1.21
2019071519,1.21
2019071520,1.23
2019071521,1.36
2019071522,1.37
2019071523,1.39
2019071524,1.43
2019071601,1.40
2019071602,1.32
2019071603,1.22
2019071604,1.14
2019071605,1.12
2019071606,1.07
2019071607,1.02
2019071608,1.02
2019071609,1.10
2019071610,1.17
2019071611,1.15
2019071612,1.11
2019071613,1.08
2019071614,1.13
2019071615,1.20
2019071616,1.20
2019071617,1.19
2019071618,1.17
2019071619,1.18
2019071620,1.19
2019071621,1.23
2019071622,1.29
2019071623,1.34
2019071624,1.36
2019071701,1.29
2019071702,1.22
2019071703,1.20
2019071704,1.18
2019071705,1.15
2019071706,1.10
2019071707,1.09
2019071708,1.08
2019071709,1.09
2019071710,1.16
2019071711,1.21
2019071712,1.24
2019071713,1.21
2019071714,1.19
2019071715,1.19
2019071716,1.19
2019071717,1.15
2019071718,1.13
2019071719,1.17
2019071720,1.22
2019071721,1.23
2019071722,1.21
2019071723,1.24
2019071724,1.25
2019071801,1.27
2019071802,1.26
2019071803,1.22
2019071804,1.16
2019071805,1.10
2019071806,1.06
2019071807,1.03
2019071808,1.02
2019071809,1.03
2019071810,1.10
2019071811,1.20
2019071812,1.26
2019071813,1.23
2019071814,1.21
2019071815,1.17
2019071816,1.14
2019071817,1.12
2019071818,1.07
2019071819,1.08
2019071820,1.20
2019071821,1.21
2019071822,1.24
2019071823,1.22
2019071824,1.28
2019071901,1.32
2019071902,1.31
2019071903,1.26
2019071904,1.24
2019071905,1.20
2019071906,1.15
2019071907,1.13
2019071908,1.08
2019071909,1.06
2019071910,1.09
2019071911,1.19
2019071912,1.28
2019071913,1.31
2019071914,1.25
2019071915,1.18
2019071916,1.14
2019071917,1.09
2019071918,1.10
2019071919,1.25
2019071920,1.27
2019071921,1.18
2019071922,1.25
2019071923,1.37
2019071924,1.45
2019072001,1.46
2019072002,1.58
2019072003,1.49
2019072004,1.35
2019072005,1.28
2019072006,1.27
2019072007,1.21
2019072008,1.41
2019072009,1.49
2019072010,1.78
2019072011,2.12
2019072012,2.21
2019072013,2.35
2019072014,2.48
2019072015,2.61
2019072016,2.64
2019072017,2.71
2019072018,2.76
2019072019,2.82
2019072020,2.92
2019072021,2.94
2019072022,3.02
2019072023,3.08
2019072024,3.14
2019072101,3.18
2019072102,3.21
2019072103,3.21
2019072104,3.25
2019072105,3.24
2019072106,3.23
2019072107,3.22
2019072108,3.25
2019072109,3.28
2019072110,3.31
2019072111,3.35
2019072112,3.38
2019072113,3.40
2019072114,3.41
2019072115,3.39
2019072116,3.37
2019072117,3.34
2019072118,3.28
2019072119,3.22
2019072120,3.16
2019072121,3.11
2019072122,3.07
2019072123,3.03
2019072124,3.00
2019072201,2.99
2019072202,2.97
2019072203,2.94
2019072204,2.91
2019072205,2.84
2019072206,2.78
2019072207,2.59
2019072208,2.48
2019072209,2.41
2019072210,2.34
2019072211,2.29
2019072212,2.15
2019072213,2.16
2019072214,2.10
2019072215,2.04
2019072216,1.97
2019072217,1.93
2019072218,1.84
2019072219,1.72
2019072220,1.63
2019072221,1.53
2019072222,1.45
2019072223,1.38
2019072224,1.35
2019072301,1.35
2019072302,1.38
2019072303,1.41
2019072304,1.40
2019072305,1.36
2019072306,1.34
2019072307,1.33
2019072308,1.32
2019072309,1.33
2019072310,1.33
2019072311,1.31
2019072312,1.28
2019072313,1.33
2019072314,1.39
2019072315,1.45
2019072316,1.49
2019072317,1.49
2019072318,1.40
2019072319,1.30
2019072320,1.20
2019072321,1.11
2019072322,1.04
2019072323,1.01
2019072324,1.27
2019072401,1.38
2019072402,1.41
2019072403,1.42
2019072404,1.38
2019072405,1.32
2019072406,1.27
2019072407,1.29
2019072408,1.25
2019072409,1.23
2019072410,1.23
2019072411,1.27
2019072412,1.30
2019072413,1.25
2019072414,1.23
2019072415,1.23
2019072416,1.30
2019072417,1.30
2019072418,1.29
2019072419,1.25
2019072420,1.19
2019072421,1.16
2019072422,1.15
2019072423,1.15
2019072424,1.17
2019072501,1.18
2019072502,1.19
2019072503,1.21
2019072504,1.22
2019072505,1.23
2019072506,1.23
2019072507,1.22
2019072508,1.20
2019072509,1.18
2019072510,1.17
2019072511,1.15
2019072512,1.14
2019072513,1.17
2019072514,1.20
2019072515,1.26
2019072516,1.29
2019072517,1.32
2019072518,1.34
2019072519,1.34
2019072520,1.33
2019072521,1.31
2019072522,1.29
2019072523,1.28
2019072524,1.26
2019072601,1.26
2019072602,1.27
2019072603,1.29
2019072604,1.30
2019072605,1.31
2019072606,1.32
2019072607,1.32
2019072608,1.31
2019072609,1.30
2019072610,1.29
2019072611,1.27
2019072612,1.25
2019072613,1.24
2019072614,1.24
2019072615,1.24
2019072616,1.24
2019072617,1.18
2019072618,1.15
2019072619,1.17
2019072620,1.20
2019072621,1.24
2019072622,1.21
2019072623,1.21
2019072624,1.20
2019072701,1.22
2019072702,1.21
2019072703,1.21
2019072704,1.21
2019072705,1.22
2019072706,1.23
2019072707,1.23
2019072708,1.23
2019072709,1.23
2019072710,1.26
2019072711,1.28
2019072712,1.28
2019072713,1.19
2019072714,1.19
2019072715,1.21
2019072716,1.28
2019072717,1.28
2019072718,1.27
2019072719,1.29
2019072720,1.31
2019072721,1.34
2019072722,1.35
2019072723,1.26
2019072724,1.22
2019072801,1.20
2019072802,1.19
2019072803,1.19
2019072804,1.27
2019072805,1.28
2019072806,1.23
2019072807,1.24
2019072808,1.24
2019072809,1.18
2019072810,1.13
2019072811,1.13
2019072812,1.20
2019072813,1.24
2019072814,1.27
2019072815,1.23
2019072816,1.21
2019072817,1.22
2019072818,1.25
2019072819,1.25
2019072820,1.26
2019072821,1.25
2019072822,1.32
2019072823,1.34
2019072824,1.32
2019072901,1.28
2019072902,1.27
2019072903,1.26
2019072904,1.24
2019072905,1.23
2019072906,1.22
2019072907,1.22
2019072908,1.19
2019072909,1.18
2019072910,1.19
2019072911,1.19
2019072912,1.16
2019072913,1.14
2019072914,1.13
2019072915,1.16
2019072916,1.16
2019072917,1.16
2019072918,1.12
2019072919,1.15
2019072920,1.22
2019072921,1.29
2019072922,1.28
2019072923,1.21
2019072924,1.15
2019073001,1.14
2019073002,1.14
2019073003,1.13
2019073004,1.10
2019073005,1.11
2019073006,1.12
2019073007,1.13
2019073008,1.13
2019073009,1.17
2019073010,1.20
2019073011,1.20
2019073012,1.19
2019073013,1.18
2019073014,1.19
2019073015,1.20
2019073016,1.22
2019073017,1.22
2019073018,1.21
2019073019,1.20
2019073020,1.25
2019073021,1.29
2019073022,1.33
2019073023,1.33
2019073024,1.30
2019073101,1.25
2019073102,1.24
2019073103,1.28
2019073104,1.30
2019073105,1.31
2019073106,1.28
2019073107,1.27
2019073108,1.27
2019073109,1.29
2019073110,1.30
2019073111,1.30
2019073112,1.28
2019073113,1.27
2019073114,1.26
2019073115,1.25
2019073116,1.23
2019073117,1.24
2019073118,1.24
2019073119,1.21
2019073120,1.22
2019073121,1.26
2019073122,1.30
2019073123,1.29
2019073124,1.31
2019080101,1.27
2019080102,1.26
2019080103,1.23
2019080104,1.23
2019080105,1.22
2019080106,1.20
2019080107,1.19
2019080108,1.18
2019080109,1.19
2019080110,1.22
2019080111,1.26
2019080112,1.27
2019080113,1.23
2019080114,1.21
2019080115,1.20
2019080116,1.20
2019080117,1.17
2019080118,1.14
2019080119,1.14
2019080120,1.14
2019080121,1.18
2019080122,1.19
2019080123,1.21
2019080124,1.23
2019080201,1.24
2019080202,1.21
2019080203,1.18
2019080204,1.18
2019080205,1.16
2019080206,1.16
2019080207,1.16
2019080208,1.17
2019080209,1.18
2019080210,1.20
2019080211,1.22
2019080212,1.25
2019080213,1.20
2019080214,1.19
2019080215,1.15
2019080216,1.19
2019080217,1.21
2019080218,1.20
2019080219,1.16
2019080220,1.15
2019080221,1.17
2019080222,1.20
2019080223,1.21
2019080224,1.20
2019080301,1.20
2019080302,1.21
2019080303,1.22
2019080304,1.22
2019080305,1.22
2019080306,1.21
2019080307,1.21
2019080308,1.25
2019080309,1.25
2019080310,1.25
2019080311,1.25
2019080312,1.28
2019080313,1.31
2019080314,1.29
2019080315,1.24
2019080316,1.18
2019080317,1.17
2019080318,1.16
2019080319,1.15
2019080320,1.16
2019080321,1.17
2019080322,1.20
2019080323,1.22
2019080324,1.24
2019080401,1.26
2019080402,1.29
2019080403,1.26
2019080404,1.22
2019080405,1.20
2019080406,1.20
2019080407,1.15
2019080408,1.15
2019080409,1.20
2019080410,1.22
2019080411,1.24
2019080412,1.23
2019080413,1.25
2019080414,1.27
2019080415,1.26
2019080416,1.23
2019080417,1.22
2019080418,1.22
2019080419,1.18
2019080420,1.18
2019080421,1.17
2019080422,1.16
2019080423,1.16
2019080424,1.22
2019080501,1.23
2019080502,1.23
2019080503,1.23
2019080504,1.20
2019080505,1.20
2019080506,1.18
2019080507,1.18
2019080508,1.18
2019080509,1.17
2019080510,1.13
2019080511,1.10
2019080512,1.13
2019080513,1.17
2019080514,1.17
2019080515,1.17
2019080516,1.14
2019080517,1.13
2019080518,1.18
2019080519,1.19
2019080520,1.18
2019080521,1.17
2019080522,1.15
2019080523,1.16
2019080524,1.16
2019080601,1.17
2019080602,1.19
2019080603,1.21
2019080604,1.22
2019080605,1.21
2019080606,1.21
2019080607,1.22
2019080608,1.23
2019080609,1.19
2019080610,1.16
2019080611,1.16
2019080612,1.19
2019080613,1.23
2019080614,1.26
2019080615,1.29
2019080616,1.31
2019080617,1.30
2019080618,1.25
2019080619,1.21
2019080620,1.13
2019080621,1.08
2019080622,.96
2019080623,.92
2019080624,.97
2019080701,1.13
2019080702,1.16
2019080703,1.16
2019080704,1.11
2019080705,1.13
2019080706,1.19
2019080707,1.25
2019080708,1.34
2019080709,1.33
2019080710,1.38
2019080711,1.39
2019080712,1.30
2019080713,1.31
2019080714,1.23
2019080715,1.20
2019080716,1.22
2019080717,1.26
2019080718,1.25
2019080719,1.29
2019080720,1.33
2019080721,1.26
2019080722,1.26
2019080723,1.24
2019080724,1.28
2019080801,1.32
2019080802,1.33
2019080803,1.31
2019080804,1.31
2019080805,1.32
2019080806,1.35
2019080807,1.37
2019080808,1.36
2019080809,1.36
