ymdh,rf
2015070101,0
2015070102,0
2015070103,0
2015070104,0
2015070105,0
2015070106,0
2015070107,0
2015070108,0
2015070109,0
2015070110,0
2015070111,0
2015070112,0
2015070113,0
2015070114,0
2015070115,0
2015070116,0
2015070117,0
2015070118,0
2015070119,0
2015070120,0
2015070121,0
2015070122,0
2015070123,0
2015070124,0
2015070201,0
2015070202,0
2015070203,0
2015070204,0
2015070205,0
2015070206,0
2015070207,0
2015070208,0
2015070209,0
2015070210,0
2015070211,0
2015070212,0
2015070213,0
2015070214,0
2015070215,0
2015070216,0
2015070217,0
2015070218,0
2015070219,0
2015070220,0
2015070221,0
2015070222,0
2015070223,0
2015070224,0
2015070301,0
2015070302,0
2015070303,0
2015070304,0
2015070305,0
2015070306,0
2015070307,0
2015070308,0
2015070309,0
2015070310,0
2015070311,0
2015070312,0
2015070313,0
2015070314,0
2015070315,0
2015070316,0
2015070317,0
2015070318,0
2015070319,0
2015070320,0
2015070321,0
2015070322,0
2015070323,0
2015070324,0
2015070401,0
2015070402,0
2015070403,0
2015070404,0
2015070405,0
2015070406,0
2015070407,0
2015070408,0
2015070409,0
2015070410,0
2015070411,0
2015070412,0
2015070413,0
2015070414,0
2015070415,0
2015070416,0
2015070417,0
2015070418,0
2015070419,0
2015070420,0
2015070421,0
2015070422,0
2015070423,0
2015070424,0
2015070501,0
2015070502,0
2015070503,0
2015070504,0
2015070505,0
2015070506,0
2015070507,0
2015070508,0
2015070509,0
2015070510,0
2015070511,0
2015070512,0
2015070513,0
2015070514,0
2015070515,0
2015070516,0
2015070517,1
2015070518,0
2015070519,0
2015070520,0
2015070521,0
2015070522,0
2015070523,0
2015070524,0
2015070601,0
2015070602,0
2015070603,0
2015070604,0
2015070605,0
2015070606,0
2015070607,0
2015070608,0
2015070609,0
2015070610,0
2015070611,0
2015070612,0
2015070613,0
2015070614,0
2015070615,0
2015070616,0
2015070617,0
2015070618,0
2015070619,0
2015070620,0
2015070621,0
2015070622,0
2015070623,0
2015070624,0
2015070701,0
2015070702,0
2015070703,0
2015070704,0
2015070705,0
2015070706,0
2015070707,0
2015070708,0
2015070709,0
2015070710,0
2015070711,0
2015070712,0
2015070713,0
2015070714,0
2015070715,0
2015070716,0
2015070717,0
2015070718,0
2015070719,0
2015070720,0
2015070721,0
2015070722,0
2015070723,0
2015070724,0
2015070801,0
2015070802,0
2015070803,0
2015070804,0
2015070805,0
2015070806,0
2015070807,0
2015070808,0
2015070809,0
2015070810,1
2015070811,3
2015070812,2
2015070813,0
2015070814,0
2015070815,0
2015070816,0
2015070817,0
2015070818,0
2015070819,0
2015070820,0
2015070821,0
2015070822,0
2015070823,0
2015070824,0
2015070901,0
2015070902,0
2015070903,0
2015070904,0
2015070905,0
2015070906,0
2015070907,0
2015070908,0
2015070909,0
2015070910,0
2015070911,0
2015070912,0
2015070913,0
2015070914,0
2015070915,0
2015070916,0
2015070917,0
2015070918,0
2015070919,0
2015070920,0
2015070921,0
2015070922,0
2015070923,0
2015070924,0
2015071001,0
2015071002,0
2015071003,0
2015071004,0
2015071005,0
2015071006,0
2015071007,0
2015071008,0
2015071009,0
2015071010,0
2015071011,0
2015071012,0
2015071013,0
2015071014,0
2015071015,0
2015071016,0
2015071017,0
2015071018,0
2015071019,0
2015071020,0
2015071021,0
2015071022,0
2015071023,0
2015071024,0
2015071101,0
2015071102,0
2015071103,0
2015071104,0
2015071105,0
2015071106,0
2015071107,0
2015071108,0
2015071109,0
2015071110,0
2015071111,0
2015071112,0
2015071113,0
2015071114,0
2015071115,0
2015071116,0
2015071117,0
2015071118,0
2015071119,0
2015071120,0
2015071121,0
2015071122,0
2015071123,0
2015071124,0
2015071201,0
2015071202,1
2015071203,1
2015071204,2
2015071205,0
2015071206,4
2015071207,0
2015071208,1
2015071209,0
2015071210,0
2015071211,2
2015071212,4
2015071213,1
2015071214,2
2015071215,0
2015071216,0
2015071217,1
2015071218,1
2015071219,3
2015071220,0
2015071221,1
2015071222,0
2015071223,0
2015071224,0
2015071301,0
2015071302,1
2015071303,2
2015071304,2
2015071305,0
2015071306,1
2015071307,1
2015071308,1
2015071309,2
2015071310,0
2015071311,1
2015071312,1
2015071313,0
2015071314,0
2015071315,0
2015071316,0
2015071317,1
2015071318,0
2015071319,0
2015071320,0
2015071321,0
2015071322,0
2015071323,0
2015071324,0
2015071401,0
2015071402,0
2015071403,0
2015071404,0
2015071405,0
2015071406,0
2015071407,0
2015071408,0
2015071409,0
2015071410,0
2015071411,0
2015071412,0
2015071413,0
2015071414,0
2015071415,0
2015071416,0
2015071417,0
2015071418,0
2015071419,0
2015071420,0
2015071421,0
2015071422,0
2015071423,0
2015071424,0
2015071501,0
2015071502,0
2015071503,0
2015071504,0
2015071505,0
2015071506,0
2015071507,0
2015071508,0
2015071509,0
2015071510,0
2015071511,0
2015071512,0
2015071513,0
2015071514,0
2015071515,0
2015071516,0
2015071517,0
2015071518,0
2015071519,0
2015071520,0
2015071521,0
2015071522,0
2015071523,0
2015071524,0
2015071601,0
2015071602,0
2015071603,0
2015071604,0
2015071605,0
2015071606,0
2015071607,0
2015071608,0
2015071609,0
2015071610,0
2015071611,0
2015071612,0
2015071613,0
2015071614,0
2015071615,0
2015071616,0
2015071617,0
2015071618,0
2015071619,0
2015071620,0
2015071621,0
2015071622,0
2015071623,0
2015071624,0
2015071701,0
2015071702,0
2015071703,0
2015071704,0
2015071705,0
2015071706,0
2015071707,0
2015071708,0
2015071709,0
2015071710,0
2015071711,0
2015071712,0
2015071713,0
2015071714,0
2015071715,0
2015071716,0
2015071717,0
2015071718,0
2015071719,0
2015071720,0
2015071721,0
2015071722,0
2015071723,0
2015071724,0
2015071801,0
2015071802,0
2015071803,0
2015071804,0
2015071805,0
2015071806,0
2015071807,0
2015071808,0
2015071809,0
2015071810,0
2015071811,0
2015071812,0
2015071813,0
2015071814,0
2015071815,0
2015071816,0
2015071817,0
2015071818,0
2015071819,0
2015071820,0
2015071821,0
2015071822,0
2015071823,0
2015071824,0
2015071901,0
2015071902,0
2015071903,2
2015071904,0
2015071905,2
2015071906,4
2015071907,1
2015071908,0
2015071909,0
2015071910,0
2015071911,0
2015071912,0
2015071913,0
2015071914,0
2015071915,0
2015071916,0
2015071917,0
2015071918,0
2015071919,0
2015071920,0
2015071921,0
2015071922,0
2015071923,0
2015071924,0
2015072001,0
2015072002,0
2015072003,0
2015072004,0
2015072005,0
2015072006,0
2015072007,0
2015072008,0
2015072009,0
2015072010,0
2015072011,0
2015072012,0
2015072013,0
2015072014,0
2015072015,0
2015072016,1
2015072017,0
2015072018,0
2015072019,0
2015072020,0
2015072021,0
2015072022,0
2015072023,0
2015072024,0
2015072101,0
2015072102,0
2015072103,0
2015072104,0
2015072105,0
2015072106,3
2015072107,0
2015072108,0
2015072109,0
2015072110,0
2015072111,0
2015072112,0
2015072113,0
2015072114,0
2015072115,0
2015072116,0
2015072117,0
2015072118,0
2015072119,0
2015072120,0
2015072121,0
2015072122,0
2015072123,0
2015072124,0
2015072201,0
2015072202,0
2015072203,0
2015072204,0
2015072205,0
2015072206,0
2015072207,0
2015072208,0
2015072209,0
2015072210,0
2015072211,0
2015072212,0
2015072213,0
2015072214,0
2015072215,0
2015072216,0
2015072217,0
2015072218,0
2015072219,4
2015072220,0
2015072221,0
2015072222,0
2015072223,0
2015072224,0
2015072301,0
2015072302,0
2015072303,0
2015072304,0
2015072305,0
2015072306,0
2015072307,0
2015072308,0
2015072309,0
2015072310,0
2015072311,0
2015072312,0
2015072313,0
2015072314,0
2015072315,0
2015072316,0
2015072317,8
2015072318,10
2015072319,0
2015072320,12
2015072321,6
2015072322,4
2015072323,1
2015072324,1
2015072401,0
2015072402,0
2015072403,6
2015072404,0
2015072405,8
2015072406,3
2015072407,1
2015072408,0
2015072409,1
2015072410,0
2015072411,1
2015072412,1
2015072413,0
2015072414,0
2015072415,0
2015072416,0
2015072417,0
2015072418,0
2015072419,0
2015072420,0
2015072421,0
2015072422,0
2015072423,0
2015072424,0
2015072501,3
2015072502,0
2015072503,1
2015072504,0
2015072505,0
2015072506,28
2015072507,7
2015072508,0
2015072509,0
2015072510,0
2015072511,0
2015072512,0
2015072513,0
2015072514,1
2015072515,0
2015072516,17
2015072517,4
2015072518,25
2015072519,5
2015072520,0
2015072521,0
2015072522,0
2015072523,0
2015072524,0
2015072601,0
2015072602,0
2015072603,0
2015072604,1
2015072605,7
2015072606,12
2015072607,7
2015072608,6
2015072609,4
2015072610,0
2015072611,0
2015072612,0
2015072613,0
2015072614,0
2015072615,0
2015072616,0
2015072617,0
2015072618,0
2015072619,0
2015072620,0
2015072621,0
2015072622,0
