ymdh,wl
2016070101,-1.24
2016070102,-1.24
2016070103,-1.24
2016070104,-1.25
2016070105,-1.25
2016070106,-1.26
2016070107,-1.25
2016070108,-1.25
2016070109,-1.24
2016070110,-1.23
2016070111,-1.24
2016070112,-1.23
2016070113,-1.21
2016070114,-1.21
2016070115,-1.17
2016070116,-1.17
2016070117,-1.16
2016070118,-1.07
2016070119,-1.04
2016070120,-.96
2016070121,-.95
2016070122,-.98
2016070123,-.96
2016070124,-1.02
2016070201,-1.10
2016070202,-1.15
2016070203,-1.20
2016070204,-1.23
2016070205,-1.20
2016070206,-1.27
2016070207,-1.17
2016070208,-1.03
2016070209,-1.02
2016070210,-.97
2016070211,-1.00
2016070212,-1.03
2016070213,-.99
2016070214,-1.06
2016070215,-.98
2016070216,-.95
2016070217,-.93
2016070218,-.89
2016070219,-.81
2016070220,-.73
2016070221,-.63
2016070222,-.51
2016070223,-.50
2016070224,-.55
2016070301,-.61
2016070302,-.70
2016070303,-.79
2016070304,-.90
2016070305,-1.01
2016070306,-1.06
2016070307,-1.08
2016070308,-1.09
2016070309,-1.01
2016070310,-.92
2016070311,-.90
2016070312,-.94
2016070313,-1.00
2016070314,-1.07
2016070315,-1.15
2016070316,-1.22
2016070317,-1.26
2016070318,-1.26
2016070319,-1.23
2016070320,-1.07
2016070321,-.86
2016070322,-.79
2016070323,-.74
2016070324,-.68
2016070401,-.76
2016070402,-.82
2016070403,-.84
2016070404,-.91
2016070405,-.96
2016070406,-.98
2016070407,-.98
2016070408,-.95
2016070409,-.86
2016070410,-.77
2016070411,-.68
2016070412,-.65
2016070413,-.68
2016070414,-.72
2016070415,-.79
2016070416,-.86
2016070417,-.94
2016070418,-.76
2016070419,-.56
2016070420,-.52
2016070421,-.44
2016070422,-.28
2016070423,.03
2016070424,.16
2016070501,.16
2016070502,.16
2016070503,.14
2016070504,.10
2016070505,.10
2016070506,.14
2016070507,.20
2016070508,.28
2016070509,.38
2016070510,.50
2016070511,.70
2016070512,.86
2016070513,.97
2016070514,1.03
2016070515,1.08
2016070516,1.13
2016070517,1.17
2016070518,1.20
2016070519,1.23
2016070520,1.26
2016070521,1.27
2016070522,1.28
2016070523,1.29
2016070524,1.27
2016070601,1.22
2016070602,1.15
2016070603,1.04
2016070604,.94
2016070605,.83
2016070606,.71
2016070607,.46
2016070608,.20
2016070609,.12
2016070610,.07
2016070611,.10
2016070612,.11
2016070613,.12
2016070614,.11
2016070615,.08
2016070616,.04
2016070617,.04
2016070618,.01
2016070619,-.04
2016070620,-.05
2016070621,-.05
2016070622,-.01
2016070623,.22
2016070624,.38
2016070701,.57
2016070702,.69
2016070703,.76
2016070704,.84
2016070705,.90
2016070706,.94
2016070707,1.00
2016070708,1.07
2016070709,1.13
2016070710,1.19
2016070711,1.25
2016070712,1.37
2016070713,1.45
2016070714,1.53
2016070715,1.60
2016070716,1.67
2016070717,1.76
2016070718,1.81
2016070719,1.86
2016070720,1.89
2016070721,1.96
2016070722,1.99
2016070723,2.06
2016070724,2.09
2016070801,2.12
2016070802,2.15
2016070803,2.18
2016070804,2.18
2016070805,2.16
2016070806,2.14
2016070807,2.10
2016070808,2.03
2016070809,1.96
2016070810,1.85
2016070811,1.71
2016070812,1.55
2016070813,1.42
2016070814,1.25
2016070815,1.08
2016070816,.89
2016070817,.56
2016070818,.06
2016070819,-.15
2016070820,-.36
2016070821,-.64
2016070822,-.63
2016070823,-.62
2016070824,-.63
2016070901,-.59
2016070902,-.53
2016070903,-.51
2016070904,-.51
2016070905,-.54
2016070906,-.58
2016070907,-.65
2016070908,-.70
2016070909,-.76
2016070910,-.80
2016070911,-.83
2016070912,-.85
2016070913,-.95
2016070914,-.99
2016070915,-.98
2016070916,-1.00
2016070917,-1.05
2016070918,-1.12
