ymdh,wl
2015070101,1.38
2015070102,1.38
2015070103,1.36
2015070104,1.33
2015070105,1.31
2015070106,1.30
2015070107,1.30
2015070108,1.30
2015070109,1.30
2015070110,1.31
2015070111,1.33
2015070112,1.34
2015070113,1.34
2015070114,1.34
2015070115,1.32
2015070116,1.31
2015070117,1.30
2015070118,1.29
2015070119,1.29
2015070120,1.30
2015070121,1.32
2015070122,1.34
2015070123,1.35
2015070124,1.36
2015070201,1.37
2015070202,1.37
2015070203,1.37
2015070204,1.36
2015070205,1.33
2015070206,1.31
2015070207,1.29
2015070208,1.28
2015070209,1.28
2015070210,1.28
2015070211,1.30
2015070212,1.32
2015070213,1.32
2015070214,1.32
2015070215,1.32
2015070216,1.31
2015070217,1.31
2015070218,1.30
2015070219,1.30
2015070220,1.30
2015070221,1.32
2015070222,1.33
2015070223,1.35
2015070224,1.35
2015070301,1.36
2015070302,1.37
2015070303,1.37
2015070304,1.37
2015070305,1.36
2015070306,1.35
2015070307,1.34
2015070308,1.34
2015070309,1.34
2015070310,1.33
2015070311,1.34
2015070312,1.36
2015070313,1.38
2015070314,1.39
2015070315,1.40
2015070316,1.40
2015070317,1.41
2015070318,1.43
2015070319,1.45
2015070320,1.47
2015070321,1.48
2015070322,1.50
2015070323,1.52
2015070324,1.53
2015070401,1.54
2015070402,1.55
2015070403,1.55
2015070404,1.56
2015070405,1.56
2015070406,1.57
2015070407,1.57
2015070408,1.57
2015070409,1.57
2015070410,1.57
2015070411,1.57
2015070412,1.57
2015070413,1.57
2015070414,1.57
2015070415,1.57
2015070416,1.57
2015070417,1.57
2015070418,1.58
2015070419,1.59
2015070420,1.60
2015070421,1.61
2015070422,1.62
2015070423,1.62
2015070424,1.63
2015070501,1.63
2015070502,1.64
2015070503,1.64
2015070504,1.65
2015070505,1.66
2015070506,1.66
2015070507,1.66
2015070508,1.67
2015070509,1.67
2015070510,1.67
2015070511,1.68
2015070512,1.68
2015070513,1.68
2015070514,1.68
2015070515,1.69
2015070516,1.69
2015070517,1.69
2015070518,1.69
2015070519,1.69
