ymdh,wl
2020010101,4.92
2020010102,4.93
2020010103,4.93
2020010104,4.93
2020010105,4.92
2020010106,4.91
2020010107,4.92
2020010108,4.93
2020010109,4.93
2020010110,4.93
2020010111,4.94
2020010112,4.99
2020010113,4.96
2020010114,5.00
2020010115,5.03
2020010116,4.93
2020010117,4.92
2020010118,4.92
2020010119,4.92
2020010120,4.94
2020010121,5.00
2020010122,5.09
2020010123,4.92
2020010124,4.91
2020010201,4.92
2020010202,4.93
2020010203,4.95
2020010204,4.94
2020010205,4.93
2020010206,4.93
2020010207,4.93
2020010208,4.95
2020010209,4.95
2020010210,4.95
2020010211,4.95
2020010212,4.97
2020010213,4.97
2020010214,4.98
2020010215,4.94
2020010216,4.94
2020010217,4.99
2020010218,4.96
2020010219,4.95
2020010220,4.95
2020010221,4.93
2020010222,4.94
2020010223,4.97
2020010224,4.94
2020010301,4.95
2020010302,4.95
2020010303,4.94
2020010304,4.95
2020010305,4.96
2020010306,4.94
2020010307,4.94
2020010308,4.94
2020010309,4.94
2020010310,4.94
2020010311,4.94
2020010312,4.97
2020010313,4.95
2020010314,4.95
2020010315,4.96
2020010316,4.95
2020010317,4.92
2020010318,4.94
2020010319,4.94
2020010320,4.94
2020010321,4.93
2020010322,4.96
2020010323,4.93
2020010324,4.94
2020010401,4.93
2020010402,4.93
2020010403,4.94
2020010404,4.94
2020010405,4.93
2020010406,4.92
2020010407,4.93
2020010408,4.94
2020010409,4.94
2020010410,4.93
2020010411,4.95
2020010412,4.95
2020010413,4.94
2020010414,4.95
2020010415,4.93
2020010416,4.94
2020010417,4.95
2020010418,4.93
2020010419,4.94
2020010420,4.95
2020010421,4.93
2020010422,4.93
2020010423,4.92
2020010424,4.89
2020010501,4.92
2020010502,4.91
2020010503,4.90
2020010504,4.91
2020010505,4.88
2020010506,4.89
2020010507,4.91
2020010508,4.89
2020010509,4.90
2020010510,4.89
2020010511,4.88
2020010512,4.93
2020010513,4.93
2020010514,4.93
2020010515,4.94
2020010516,4.90
2020010517,4.92
2020010518,4.91
2020010519,4.91
2020010520,4.91
2020010521,4.93
2020010522,4.93
2020010523,4.92
2020010524,4.91
2020010601,4.92
2020010602,4.92
2020010603,4.92
2020010604,4.92
2020010605,4.91
2020010606,4.91
2020010607,4.92
2020010608,4.91
2020010609,4.91
2020010610,4.91
2020010611,4.93
2020010612,4.94
2020010613,4.93
2020010614,4.94
2020010615,4.92
2020010616,4.89
2020010617,4.90
2020010618,4.90
2020010619,4.93
2020010620,4.93
2020010621,4.91
2020010622,4.90
2020010623,4.95
2020010624,4.95
2020010701,4.95
2020010702,4.92
2020010703,4.90
2020010704,4.93
2020010705,4.95
2020010706,4.94
2020010707,4.95
2020010708,4.92
2020010709,4.94
2020010710,4.96
2020010711,4.96
2020010712,5.02
2020010713,4.97
2020010714,4.97
2020010715,4.99
2020010716,4.98
2020010717,4.96
2020010718,4.97
2020010719,4.97
2020010720,4.99
2020010721,5.04
2020010722,5.02
2020010723,5.01
2020010724,5.04
2020010801,4.89
2020010802,4.80
2020010803,4.92
2020010804,4.94
2020010805,4.89
2020010806,4.89
2020010807,4.86
2020010808,4.86
2020010809,4.97
2020010810,5.03
2020010811,4.95
2020010812,4.92
2020010813,4.87
2020010814,4.83
2020010815,4.83
2020010816,4.87
2020010817,4.91
2020010818,4.90
2020010819,4.90
2020010820,4.91
2020010821,4.97
2020010822,5.04
2020010823,5.05
2020010824,5.08
2020010901,5.03
2020010902,4.98
2020010903,4.93
2020010904,4.94
2020010905,4.93
2020010906,4.94
2020010907,4.95
2020010908,4.96
2020010909,5.05
2020010910,5.09
2020010911,5.10
2020010912,5.01
2020010913,4.97
2020010914,4.94
2020010915,4.93
2020010916,4.90
2020010917,4.87
2020010918,4.85
2020010919,4.86
2020010920,4.96
2020010921,4.97
2020010922,4.98
2020010923,4.98
2020010924,4.97
2020011001,4.96
2020011002,4.95
2020011003,4.87
2020011004,4.83
2020011005,4.91
2020011006,4.93
2020011007,4.92
2020011008,4.88
2020011009,4.91
2020011010,5.01
2020011011,5.06
2020011012,5.06
2020011013,4.98
2020011014,4.96
2020011015,4.94
2020011016,4.94
2020011017,4.92
2020011018,4.90
2020011019,4.90
2020011020,4.90
2020011021,4.92
2020011022,4.94
2020011023,4.98
2020011024,4.99
2020011101,4.93
2020011102,4.91
2020011103,4.87
2020011104,4.81
2020011105,4.89
2020011106,4.89
2020011107,4.89
2020011108,4.88
2020011109,4.88
2020011110,4.92
2020011111,4.96
2020011112,5.00
2020011113,5.01
2020011114,4.97
2020011115,4.95
2020011116,4.96
2020011117,4.95
2020011118,4.96
2020011119,4.96
2020011120,4.95
2020011121,4.90
2020011122,4.90
2020011123,4.98
2020011124,5.03
2020011201,4.97
2020011202,4.92
2020011203,4.89
2020011204,4.87
2020011205,4.87
2020011206,4.85
2020011207,4.85
2020011208,4.87
2020011209,4.86
2020011210,4.90
2020011211,4.95
2020011212,4.95
2020011213,4.98
2020011214,5.00
2020011215,4.97
2020011216,4.91
2020011217,4.87
2020011218,4.80
2020011219,4.82
2020011220,4.82
2020011221,4.78
2020011222,4.83
2020011223,4.84
2020011224,4.87
2020011301,4.89
2020011302,4.89
2020011303,4.87
2020011304,4.89
2020011305,4.93
2020011306,4.92
2020011307,4.92
2020011308,4.95
2020011309,4.95
2020011310,4.93
2020011311,4.90
2020011312,5.03
2020011313,5.09
2020011314,5.10
2020011315,5.07
2020011316,4.88
2020011317,4.83
2020011318,4.82
2020011319,4.76
2020011320,4.97
2020011321,4.98
2020011322,4.93
2020011323,4.89
2020011324,4.87
2020011401,4.93
2020011402,5.00
2020011403,4.95
2020011404,4.93
2020011405,4.90
2020011406,4.93
2020011407,4.94
2020011408,4.88
2020011409,4.86
2020011410,4.86
2020011411,4.85
2020011412,4.97
2020011413,5.04
2020011414,5.02
2020011415,5.03
2020011416,5.04
2020011417,4.96
2020011418,4.84
2020011419,4.79
2020011420,4.83
2020011421,4.98
2020011422,4.98
2020011423,4.90
2020011424,4.85
2020011501,4.86
2020011502,4.96
2020011503,4.99
2020011504,4.95
2020011505,4.90
2020011506,4.90
2020011507,4.95
2020011508,4.96
2020011509,4.90
2020011510,4.86
2020011511,4.87
2020011512,4.91
2020011513,5.02
2020011514,5.01
2020011515,5.02
2020011516,4.89
2020011517,4.85
2020011518,4.86
2020011519,4.81
2020011520,4.97
2020011521,4.95
2020011522,4.89
2020011523,4.89
2020011524,4.91
2020011601,4.93
2020011602,4.96
2020011603,4.92
2020011604,4.90
2020011605,4.92
2020011606,4.93
2020011607,4.93
2020011608,4.95
2020011609,4.91
2020011610,4.92
2020011611,4.93
2020011612,4.96
2020011613,5.00
2020011614,4.99
2020011615,4.98
2020011616,4.93
2020011617,4.88
2020011618,4.85
2020011619,4.83
2020011620,4.88
2020011621,4.94
2020011622,4.90
2020011623,4.87
2020011624,4.87
2020011701,4.87
2020011702,4.93
2020011703,4.92
2020011704,4.90
2020011705,4.89
2020011706,4.89
2020011707,4.91
2020011708,4.90
2020011709,4.88
2020011710,4.89
2020011711,4.90
2020011712,4.92
2020011713,4.92
2020011714,4.92
2020011715,4.92
2020011716,4.92
2020011717,4.91
2020011718,4.89
2020011719,4.89
2020011720,4.88
2020011721,4.91
2020011722,4.92
2020011723,4.91
2020011724,4.90
2020011801,4.89
2020011802,4.90
2020011803,4.92
2020011804,4.92
2020011805,4.91
2020011806,4.91
2020011807,4.91
2020011808,4.92
2020011809,4.92
2020011810,4.92
2020011811,4.91
2020011812,4.94
2020011813,4.93
2020011814,4.93
2020011815,4.95
2020011816,4.92
2020011817,4.94
2020011818,4.94
2020011819,4.94
2020011820,4.95
2020011821,4.93
2020011822,4.92
2020011823,4.93
2020011824,4.93
2020011901,4.94
2020011902,4.94
2020011903,4.93
2020011904,4.94
2020011905,4.94
2020011906,4.95
2020011907,4.96
2020011908,4.95
2020011909,4.97
2020011910,4.96
2020011911,4.97
2020011912,4.98
2020011913,4.99
2020011914,4.98
2020011915,4.99
2020011916,4.98
2020011917,4.99
2020011918,5.00
2020011919,4.99
2020011920,4.97
2020011921,4.98
2020011922,4.97
2020011923,4.97
2020011924,4.98
2020012001,4.98
2020012002,4.98
2020012003,4.99
2020012004,4.98
2020012005,5.01
2020012006,5.01
2020012007,5.00
2020012008,5.02
2020012009,5.01
2020012010,5.01
2020012011,5.01
2020012012,5.00
2020012013,4.99
2020012014,5.00
2020012015,4.99
2020012016,4.97
2020012017,4.98
2020012018,4.97
2020012019,4.97
2020012020,4.98
2020012021,4.98
2020012022,4.98
2020012023,4.98
2020012024,4.97
2020012101,4.97
2020012102,4.98
2020012103,4.96
2020012104,4.96
2020012105,4.95
2020012106,4.94
2020012107,4.96
2020012108,4.95
2020012109,4.96
2020012110,4.96
2020012111,4.95
2020012112,4.97
2020012113,4.98
2020012114,4.98
2020012115,4.99
2020012116,4.98
2020012117,4.98
2020012118,4.99
2020012119,4.98
