ymdh,wl
2019010101,-1.12
2019010102,-1.11
2019010103,-1.11
2019010104,-1.11
2019010105,-1.10
2019010106,-1.10
2019010107,-1.11
2019010108,-1.11
2019010109,-1.13
2019010110,-1.10
2019010111,-1.09
2019010112,-1.11
2019010113,-1.13
2019010114,-1.14
2019010115,-1.14
2019010116,-1.11
2019010117,-1.11
2019010118,-1.12
2019010119,-1.12
2019010120,-1.12
2019010121,-1.12
2019010122,-1.10
2019010123,-1.10
2019010124,-1.11
2019010201,-1.10
2019010202,-1.10
2019010203,-1.10
2019010204,-1.10
2019010205,-1.10
2019010206,-1.10
2019010207,-1.09
2019010208,-1.09
2019010209,-1.08
2019010210,-1.08
2019010211,-1.09
2019010212,-1.11
2019010213,-1.08
2019010214,-1.08
2019010215,-1.07
2019010216,-1.07
2019010217,-1.05
2019010218,-1.05
2019010219,-1.05
2019010220,-1.04
2019010221,-1.04
2019010222,-1.04
2019010223,-1.04
2019010224,-1.03
2019010301,-1.02
2019010302,-1.03
2019010303,-1.03
2019010304,-1.04
2019010305,-1.04
2019010306,-1.04
2019010307,-1.04
2019010308,-1.04
2019010309,-1.04
2019010310,-1.04
2019010311,-1.03
2019010312,-1.03
2019010313,-1.04
2019010314,-1.03
2019010315,-1.04
2019010316,-1.04
2019010317,-1.03
2019010318,-1.03
2019010319,-1.03
2019010320,-1.03
2019010321,-1.03
2019010322,-1.04
2019010323,-1.04
2019010324,-1.03
2019010401,-1.03
2019010402,-1.03
2019010403,-1.03
2019010404,-1.04
2019010405,-1.04
2019010406,-1.04
2019010407,-1.03
2019010408,-1.03
2019010409,-1.04
2019010410,-1.03
2019010411,-1.03
2019010412,-1.03
2019010413,-1.02
2019010414,-1.02
2019010415,-1.06
2019010416,-1.08
2019010417,-1.09
2019010418,-1.06
2019010419,-1.06
2019010420,-1.06
2019010421,-1.08
2019010422,-1.09
2019010423,-1.09
2019010424,-1.07
2019010501,-1.07
2019010502,-1.08
2019010503,-1.10
2019010504,-1.10
2019010505,-1.11
2019010506,-1.10
2019010507,-1.09
2019010508,-1.09
2019010509,-1.11
2019010510,-1.10
2019010511,-1.09
2019010512,-1.07
2019010513,-1.12
2019010514,-1.12
2019010515,-1.10
2019010516,-1.12
2019010517,-1.13
2019010518,-1.13
2019010519,-1.12
2019010520,-1.12
2019010521,-1.11
2019010522,-1.12
2019010523,-1.12
2019010524,-1.11
2019010601,-1.11
2019010602,-1.11
2019010603,-1.11
2019010604,-1.13
2019010605,-1.14
2019010606,-1.15
2019010607,-1.14
2019010608,-1.12
2019010609,-1.11
2019010610,-1.12
2019010611,-1.12
2019010612,-1.10
2019010613,-1.08
2019010614,-1.07
2019010615,-1.09
2019010616,-1.11
2019010617,-1.13
2019010618,-1.13
2019010619,-1.11
2019010620,-1.09
2019010621,-1.09
2019010622,-1.11
2019010623,-1.11
2019010624,-1.09
2019010701,-1.07
2019010702,-1.07
2019010703,-1.09
2019010704,-1.13
2019010705,-1.13
2019010706,-1.13
2019010707,-1.12
2019010708,-1.11
2019010709,-1.11
2019010710,-1.13
2019010711,-1.12
2019010712,-1.11
2019010713,-1.07
2019010714,-1.10
2019010715,-1.11
2019010716,-1.11
2019010717,-1.09
2019010718,-1.07
2019010719,-1.06
2019010720,-1.09
2019010721,-1.10
2019010722,-1.09
2019010723,-1.07
2019010724,-1.06
2019010801,-1.07
2019010802,-1.10
2019010803,-1.11
2019010804,-1.11
2019010805,-1.07
2019010806,-1.06
2019010807,-1.07
2019010808,-1.09
2019010809,-1.09
2019010810,-1.07
2019010811,-1.06
2019010812,-1.09
2019010813,-1.11
2019010814,-1.12
2019010815,-1.11
2019010816,-1.10
2019010817,-1.09
2019010818,-1.08
2019010819,-1.09
2019010820,-1.13
2019010821,-1.14
2019010822,-1.13
2019010823,-1.15
2019010824,-1.08
2019010901,-1.06
2019010902,-1.09
2019010903,-1.11
2019010904,-1.12
2019010905,-1.09
2019010906,-1.07
2019010907,-1.07
2019010908,-1.09
2019010909,-1.13
2019010910,-1.14
2019010911,-1.13
2019010912,-1.10
2019010913,-1.08
2019010914,-1.07
2019010915,-1.09
2019010916,-1.09
2019010917,-1.09
2019010918,-1.07
2019010919,-1.07
2019010920,-1.07
2019010921,-1.07
2019010922,-1.10
2019010923,-1.13
2019010924,-1.13
2019011001,-1.12
2019011002,-1.10
2019011003,-1.10
2019011004,-1.11
2019011005,-1.11
2019011006,-1.11
2019011007,-1.10
2019011008,-1.10
2019011009,-1.13
2019011010,-1.15
2019011011,-1.15
2019011012,-1.11
2019011013,-1.11
2019011014,-1.13
2019011015,-1.16
2019011016,-1.18
2019011017,-1.16
2019011018,-1.12
2019011019,-1.10
2019011020,-1.11
2019011021,-1.13
2019011022,-1.14
2019011023,-1.11
2019011024,-1.11
2019011101,-1.12
2019011102,-1.13
2019011103,-1.13
2019011104,-1.10
2019011105,-1.08
2019011106,-1.08
2019011107,-1.09
2019011108,-1.10
2019011109,-1.11
2019011110,-1.08
2019011111,-1.08
2019011112,-1.08
2019011113,-1.09
2019011114,-1.09
2019011115,-1.08
2019011116,-1.07
2019011117,-1.07
2019011118,-1.07
2019011119,-1.07
2019011120,-1.07
2019011121,-1.07
2019011122,-1.07
2019011123,-1.07
2019011124,-1.07
2019011201,-1.06
2019011202,-1.06
2019011203,-1.07
2019011204,-1.07
2019011205,-1.07
2019011206,-1.06
2019011207,-1.07
2019011208,-1.06
2019011209,-1.07
2019011210,-1.07
2019011211,-1.06
2019011212,-1.07
2019011213,-1.08
2019011214,-1.08
2019011215,-1.07
2019011216,-1.07
2019011217,-1.05
2019011218,-1.05
2019011219,-1.06
2019011220,-1.06
2019011221,-1.07
2019011222,-1.07
2019011223,-1.06
2019011224,-1.06
2019011301,-1.06
2019011302,-1.06
2019011303,-1.06
2019011304,-1.06
2019011305,-1.05
2019011306,-1.05
2019011307,-1.05
2019011308,-1.05
2019011309,-1.07
2019011310,-1.07
2019011311,-1.06
2019011312,-1.07
2019011313,-1.06
2019011314,-1.07
2019011315,-1.07
2019011316,-1.07
2019011317,-1.07
2019011318,-1.07
2019011319,-1.07
2019011320,-1.09
2019011321,-1.09
2019011322,-1.09
2019011323,-1.09
2019011324,-1.09
2019011401,-1.09
2019011402,-1.09
2019011403,-1.09
2019011404,-1.09
2019011405,-1.09
2019011406,-1.09
2019011407,-1.09
2019011408,-1.09
2019011409,-1.09
2019011410,-1.10
2019011411,-1.09
2019011412,-1.09
2019011413,-1.08
2019011414,-1.08
2019011415,-1.11
2019011416,-1.09
2019011417,-1.09
2019011418,-1.07
2019011419,-1.06
2019011420,-1.10
2019011421,-1.10
2019011422,-1.09
2019011423,-1.08
2019011424,-1.07
2019011501,-1.06
2019011502,-1.07
2019011503,-1.06
2019011504,-1.05
2019011505,-1.05
2019011506,-1.04
2019011507,-1.03
2019011508,-1.03
2019011509,-1.03
2019011510,-1.03
2019011511,-1.03
2019011512,-1.06
2019011513,-1.04
2019011514,-1.01
2019011515,-1.05
2019011516,-1.05
2019011517,-1.12
2019011518,-1.05
2019011519,-1.04
2019011520,-1.06
2019011521,-1.05
2019011522,-1.09
2019011523,-1.10
2019011524,-1.06
2019011601,-1.05
2019011602,-1.04
2019011603,-1.06
2019011604,-1.12
2019011605,-1.10
2019011606,-1.07
2019011607,-1.06
2019011608,-1.04
2019011609,-1.08
2019011610,-1.12
2019011611,-1.10
2019011612,-1.06
2019011613,-1.07
2019011614,-1.06
2019011615,-1.12
2019011616,-1.11
2019011617,-1.08
2019011618,-1.08
2019011619,-1.08
2019011620,-1.07
2019011621,-1.10
2019011622,-1.11
2019011623,-1.10
2019011624,-1.11
2019011701,-1.10
2019011702,-1.10
2019011703,-1.11
2019011704,-1.11
2019011705,-1.11
2019011706,-1.10
2019011707,-1.09
2019011708,-1.10
2019011709,-1.10
2019011710,-1.10
2019011711,-1.11
2019011712,-1.12
2019011713,-1.12
2019011714,-1.12
2019011715,-1.11
2019011716,-1.10
2019011717,-1.08
2019011718,-1.09
2019011719,-1.09
2019011720,-1.09
2019011721,-1.09
2019011722,-1.10
2019011723,-1.10
2019011724,-1.10
2019011801,-1.09
2019011802,-1.09
2019011803,-1.10
2019011804,-1.10
2019011805,-1.11
2019011806,-1.10
2019011807,-1.10
2019011808,-1.10
2019011809,-1.11
2019011810,-1.11
2019011811,-1.11
2019011812,-1.08
2019011813,-1.09
2019011814,-1.11
2019011815,-1.12
2019011816,-1.11
2019011817,-1.08
2019011818,-1.07
2019011819,-1.07
2019011820,-1.08
2019011821,-1.08
2019011822,-1.07
2019011823,-1.06
2019011824,-1.07
2019011901,-1.10
2019011902,-1.10
2019011903,-1.10
2019011904,-1.10
2019011905,-1.09
2019011906,-1.09
2019011907,-1.09
2019011908,-1.09
2019011909,-1.09
2019011910,-1.06
2019011911,-1.05
2019011912,-1.07
2019011913,-1.07
2019011914,-1.07
2019011915,-1.06
2019011916,-1.05
2019011917,-1.07
2019011918,-1.10
2019011919,-1.11
2019011920,-1.09
2019011921,-1.05
2019011922,-1.04
2019011923,-1.07
2019011924,-1.09
2019012001,-1.09
2019012002,-1.07
2019012003,-1.05
2019012004,-1.07
2019012005,-1.09
2019012006,-1.09
2019012007,-1.08
2019012008,-1.07
2019012009,-1.07
2019012010,-1.08
2019012011,-1.12
2019012012,-1.11
2019012013,-1.11
2019012014,-1.09
2019012015,-1.10
2019012016,-1.10
2019012017,-1.10
2019012018,-1.09
2019012019,-1.08
2019012020,-1.07
2019012021,-1.08
2019012022,-1.08
2019012023,-1.09
2019012024,-1.10
2019012101,-1.12
2019012102,-1.13
2019012103,-1.11
2019012104,-1.08
2019012105,-1.08
2019012106,-1.10
2019012107,-1.11
2019012108,-1.11
2019012109,-1.09
2019012110,-1.07
2019012111,-1.07
2019012112,-1.11
2019012113,-1.12
2019012114,-1.13
2019012115,-1.12
2019012116,-1.11
2019012117,-1.13
2019012118,-1.15
2019012119,-1.14
2019012120,-1.13
2019012121,-1.13
2019012122,-1.14
2019012123,-1.14
2019012124,-1.14
2019012201,-1.12
2019012202,-1.12
2019012203,-1.14
2019012204,-1.16
2019012205,-1.16
2019012206,-1.16
2019012207,-1.16
2019012208,-1.16
2019012209,-1.16
2019012210,-1.16
2019012211,-1.15
2019012212,-1.13
2019012213,-1.13
2019012214,-1.12
2019012215,-1.12
2019012216,-1.14
2019012217,-1.14
2019012218,-1.16
2019012219,-1.16
2019012220,-1.16
2019012221,-1.16
2019012222,-1.16
2019012223,-1.17
2019012224,-1.15
2019012301,-1.14
2019012302,-1.13
2019012303,-1.13
2019012304,-1.13
2019012305,-1.15
2019012306,-1.16
2019012307,-1.16
2019012308,-1.15
2019012309,-1.15
2019012310,-1.15
2019012311,-1.15
2019012312,-1.15
2019012313,-1.17
2019012314,-1.18
2019012315,-1.17
2019012316,-1.14
2019012317,-1.13
2019012318,-1.13
2019012319,-1.12
2019012320,-1.13
2019012321,-1.13
2019012322,-1.13
2019012323,-1.15
2019012324,-1.15
2019012401,-1.12
2019012402,-1.11
2019012403,-1.11
2019012404,-1.13
2019012405,-1.13
2019012406,-1.13
2019012407,-1.14
2019012408,-1.13
2019012409,-1.13
2019012410,-1.14
2019012411,-1.14
2019012412,-1.14
2019012413,-1.10
2019012414,-1.09
2019012415,-1.09
2019012416,-1.11
2019012417,-1.13
2019012418,-1.13
2019012419,-1.13
2019012420,-1.12
2019012421,-1.11
2019012422,-1.11
2019012423,-1.11
2019012424,-1.12
2019012501,-1.11
2019012502,-1.10
2019012503,-1.08
2019012504,-1.08
2019012505,-1.08
2019012506,-1.08
2019012507,-1.08
2019012508,-1.06
