ymdh,wl
2015070101,.16
2015070102,.16
2015070103,.16
2015070104,.16
2015070105,.16
2015070106,.16
2015070107,.16
2015070108,.16
2015070109,.16
2015070110,.16
2015070111,.16
2015070112,.16
2015070113,.16
2015070114,.16
2015070115,.16
2015070116,.15
2015070117,.15
2015070118,.15
2015070119,.15
2015070120,.15
2015070121,.15
2015070122,.15
2015070123,.15
2015070124,.15
2015070201,.15
2015070202,.15
2015070203,.15
2015070204,.15
2015070205,.15
2015070206,.15
2015070207,.15
2015070208,.15
2015070209,.15
2015070210,.15
2015070211,.15
2015070212,.15
2015070213,.15
2015070214,.15
2015070215,.15
2015070216,.15
2015070217,.15
2015070218,.15
2015070219,.15
2015070220,.15
2015070221,.15
2015070222,.15
2015070223,.15
2015070224,.15
2015070301,.15
2015070302,.15
2015070303,.15
2015070304,.15
2015070305,.15
2015070306,.15
2015070307,.15
2015070308,.15
2015070309,.15
2015070310,.15
2015070311,.15
2015070312,.15
2015070313,.15
2015070314,.15
2015070315,.15
2015070316,.15
2015070317,.14
2015070318,.14
2015070319,.14
2015070320,.14
2015070321,.14
2015070322,.14
2015070323,.14
2015070324,.14
2015070401,.14
2015070402,.14
2015070403,.14
2015070404,.14
2015070405,.14
2015070406,.14
2015070407,.14
2015070408,.14
2015070409,.14
2015070410,.14
2015070411,.14
2015070412,.14
2015070413,.14
2015070414,.14
2015070415,.14
2015070416,.14
2015070417,.14
2015070418,.14
2015070419,.14
2015070420,.14
2015070421,.14
2015070422,.14
2015070423,.14
2015070424,.14
2015070501,.14
2015070502,.14
2015070503,.14
2015070504,.14
2015070505,.14
2015070506,.14
2015070507,.14
2015070508,.14
2015070509,.14
2015070510,.14
2015070511,.14
2015070512,.14
2015070513,.14
2015070514,.14
2015070515,.14
2015070516,.14
2015070517,.14
2015070518,.14
2015070519,.14
2015070520,.14
2015070521,.14
2015070522,.14
2015070523,.14
2015070524,.14
2015070601,.14
2015070602,.14
2015070603,.14
2015070604,.14
2015070605,.14
2015070606,.14
2015070607,.14
2015070608,.14
2015070609,.14
2015070610,.14
2015070611,.14
2015070612,.14
2015070613,.14
2015070614,.14
2015070615,.14
2015070616,.14
2015070617,.14
2015070618,.14
2015070619,.14
2015070620,.14
2015070621,.14
2015070622,.14
2015070623,.14
2015070624,.14
2015070701,.14
2015070702,.14
2015070703,.14
2015070704,.14
2015070705,.14
2015070706,.14
2015070707,.14
2015070708,.14
2015070709,.14
2015070710,.14
2015070711,.14
2015070712,.14
2015070713,.14
2015070714,.14
2015070715,.14
2015070716,.14
2015070717,.14
2015070718,.14
2015070719,.14
2015070720,.14
2015070721,.14
2015070722,.14
2015070723,.14
2015070724,.14
2015070801,.14
2015070802,.14
2015070803,.14
2015070804,.14
2015070805,.14
2015070806,.14
2015070807,.14
2015070808,.14
2015070809,.14
2015070810,.14
2015070811,.15
2015070812,.16
2015070813,.16
2015070814,.16
2015070815,.16
2015070816,.16
2015070817,.16
2015070818,.16
2015070819,.16
2015070820,.15
2015070821,.15
2015070822,.15
2015070823,.15
2015070824,.15
2015070901,.15
2015070902,.15
2015070903,.15
2015070904,.15
2015070905,.15
2015070906,.15
2015070907,.15
2015070908,.15
2015070909,.15
2015070910,.15
2015070911,.15
2015070912,.15
2015070913,.15
2015070914,.15
2015070915,.15
2015070916,.15
2015070917,.15
2015070918,.15
2015070919,.15
2015070920,.15
2015070921,.15
2015070922,.15
2015070923,.15
2015070924,.15
2015071001,.15
2015071002,.15
2015071003,.15
2015071004,.15
2015071005,.15
2015071006,.15
2015071007,.14
2015071008,.14
2015071009,.14
2015071010,.14
2015071011,.14
2015071012,.14
2015071013,.14
2015071014,.14
2015071015,.14
2015071016,.14
2015071017,.14
2015071018,.14
2015071019,.14
2015071020,.14
2015071021,.14
2015071022,.14
2015071023,.14
2015071024,.14
2015071101,.14
2015071102,.14
2015071103,.14
2015071104,.14
2015071105,.14
2015071106,.14
2015071107,.14
2015071108,.14
2015071109,.14
2015071110,.14
2015071111,.14
2015071112,.14
2015071113,.14
2015071114,.14
2015071115,.14
2015071116,.14
