ymdh,wl
2020070101,1.78
2020070102,1.73
2020070103,1.69
2020070104,1.70
2020070105,1.74
2020070106,1.77
2020070107,1.78
2020070108,1.79
2020070109,1.78
2020070110,1.76
2020070111,1.72
2020070112,1.68
2020070113,1.64
2020070114,1.61
2020070115,1.60
2020070116,1.61
2020070117,1.66
2020070118,1.74
2020070119,1.83
2020070120,1.86
2020070121,1.85
2020070122,1.80
2020070123,1.75
2020070124,1.70
2020070201,1.62
2020070202,1.55
2020070203,1.55
2020070204,1.55
2020070205,1.56
2020070206,1.63
2020070207,1.67
2020070208,1.72
2020070209,1.72
2020070210,1.72
2020070211,1.69
2020070212,1.65
2020070213,1.59
2020070214,1.55
2020070215,1.53
2020070216,1.51
2020070217,1.51
2020070218,1.52
2020070219,1.58
2020070220,1.63
2020070221,1.69
2020070222,1.71
2020070223,1.69
2020070224,1.66
2020070301,1.62
2020070302,1.57
2020070303,1.55
2020070304,1.56
2020070305,1.56
2020070306,1.58
2020070307,1.58
2020070308,1.62
2020070309,1.63
2020070310,1.64
2020070311,1.64
2020070312,1.62
2020070313,1.62
2020070314,1.63
2020070315,1.64
2020070316,1.66
2020070317,1.67
2020070318,1.66
2020070319,1.66
2020070320,1.71
2020070321,1.75
2020070322,1.80
2020070323,1.81
2020070324,1.75
2020070401,1.72
2020070402,1.65
2020070403,1.61
2020070404,1.56
2020070405,1.58
2020070406,1.59
2020070407,1.64
2020070408,1.64
2020070409,1.64
2020070410,1.65
2020070411,1.67
2020070412,1.67
2020070413,1.67
2020070414,1.66
2020070415,1.65
2020070416,1.64
2020070417,1.64
2020070418,1.64
2020070419,1.65
2020070420,1.65
2020070421,1.68
2020070422,1.71
2020070423,1.75
2020070424,1.73
2020070501,1.70
2020070502,1.67
2020070503,1.66
2020070504,1.63
2020070505,1.62
2020070506,1.62
2020070507,1.62
2020070508,1.62
2020070509,1.64
2020070510,1.66
2020070511,1.68
2020070512,1.68
2020070513,1.71
2020070514,1.68
2020070515,1.67
2020070516,1.65
2020070517,1.63
2020070518,1.63
2020070519,1.61
2020070520,1.61
2020070521,1.66
2020070522,1.69
2020070523,1.75
2020070524,1.76
2020070601,1.74
2020070602,1.71
2020070603,1.69
2020070604,1.68
2020070605,1.68
2020070606,1.69
2020070607,1.69
2020070608,1.68
2020070609,1.67
2020070610,1.71
2020070611,1.75
2020070612,1.78
2020070613,1.76
2020070614,1.74
2020070615,1.68
2020070616,1.64
2020070617,1.59
2020070618,1.57
2020070619,1.58
2020070620,1.56
2020070621,1.58
2020070622,1.60
2020070623,1.61
2020070624,1.63
2020070701,1.63
2020070702,1.62
2020070703,1.63
2020070704,1.66
2020070705,1.71
2020070706,1.74
2020070707,1.73
2020070708,1.64
2020070709,1.63
2020070710,1.66
2020070711,1.72
2020070712,1.80
2020070713,1.78
2020070714,1.75
2020070715,1.72
2020070716,1.69
2020070717,1.67
2020070718,1.59
2020070719,1.55
2020070720,1.55
2020070721,1.58
2020070722,1.65
2020070723,1.69
2020070724,1.71
2020070801,1.75
2020070802,1.76
2020070803,1.73
2020070804,1.70
2020070805,1.65
2020070806,1.61
2020070807,1.58
2020070808,1.56
2020070809,1.58
2020070810,1.59
2020070811,1.62
2020070812,1.65
2020070813,1.67
2020070814,1.65
2020070815,1.64
2020070816,1.63
2020070817,1.63
2020070818,1.63
2020070819,1.63
2020070820,1.63
2020070821,1.63
2020070822,1.63
2020070823,1.68
2020070824,1.71
2020070901,1.75
2020070902,1.76
2020070903,1.72
2020070904,1.70
2020070905,1.66
2020070906,1.65
2020070907,1.64
2020070908,1.62
2020070909,1.60
2020070910,1.59
2020070911,1.59
2020070912,1.62
2020070913,1.62
2020070914,1.64
2020070915,1.64
2020070916,1.61
2020070917,1.63
2020070918,1.65
2020070919,1.64
2020070920,1.68
2020070921,1.65
2020070922,1.64
2020070923,1.66
2020070924,1.69
2020071001,1.72
2020071002,1.77
2020071003,1.73
2020071004,1.71
2020071005,1.68
2020071006,1.64
2020071007,1.63
2020071008,1.60
2020071009,1.60
2020071010,1.63
2020071011,1.69
2020071012,1.76
2020071013,1.85
2020071014,1.90
2020071015,1.89
2020071016,1.86
2020071017,1.84
2020071018,1.78
2020071019,1.69
2020071020,1.70
2020071021,1.68
2020071022,1.64
2020071023,1.67
2020071024,1.70
2020071101,1.79
2020071102,1.85
2020071103,1.88
2020071104,1.89
2020071105,1.87
2020071106,1.84
2020071107,1.81
2020071108,1.76
2020071109,1.72
2020071110,1.70
2020071111,1.67
2020071112,1.67
2020071113,1.70
2020071114,1.73
2020071115,1.71
2020071116,1.67
2020071117,1.63
2020071118,1.54
2020071119,1.51
2020071120,1.51
2020071121,1.51
2020071122,1.55
2020071123,1.58
2020071124,1.61
2020071201,1.65
2020071202,1.72
2020071203,1.78
2020071204,1.80
2020071205,1.80
2020071206,1.77
2020071207,1.74
2020071208,1.70
2020071209,1.66
2020071210,1.60
2020071211,1.57
2020071212,1.55
2020071213,1.55
2020071214,1.57
2020071215,1.59
2020071216,1.60
2020071217,1.64
2020071218,1.64
2020071219,1.63
2020071220,1.61
2020071221,1.60
2020071222,1.59
2020071223,1.60
2020071224,1.60
2020071301,1.64
2020071302,1.71
2020071303,1.78
2020071304,1.82
2020071305,1.89
2020071306,1.92
2020071307,1.94
2020071308,1.97
2020071309,1.98
2020071310,2.06
2020071311,2.22
2020071312,2.43
2020071313,2.60
2020071314,2.79
2020071315,3.02
2020071316,3.28
2020071317,3.55
2020071318,3.79
2020071319,3.99
2020071320,4.17
2020071321,4.32
2020071322,4.46
2020071323,4.57
2020071324,4.68
2020071401,4.79
2020071402,4.88
2020071403,4.97
2020071404,5.06
2020071405,5.13
2020071406,5.19
2020071407,5.23
2020071408,5.26
2020071409,5.28
2020071410,5.28
2020071411,5.27
2020071412,5.26
2020071413,5.23
2020071414,5.20
2020071415,5.17
2020071416,5.13
2020071417,5.09
2020071418,5.04
2020071419,4.99
2020071420,4.93
2020071421,4.86
2020071422,4.78
2020071423,4.71
2020071424,4.63
2020071501,4.56
2020071502,4.48
2020071503,4.39
2020071504,4.32
2020071505,4.23
2020071506,4.15
2020071507,4.05
2020071508,3.93
2020071509,3.83
2020071510,3.72
2020071511,3.60
2020071512,3.47
2020071513,3.35
2020071514,3.22
2020071515,3.08
2020071516,2.93
2020071517,2.82
2020071518,2.70
2020071519,2.58
2020071520,2.48
2020071521,2.38
2020071522,2.29
2020071523,2.19
2020071524,2.10
2020071601,2.01
2020071602,1.95
2020071603,1.91
2020071604,1.88
2020071605,1.87
2020071606,1.87
2020071607,1.87
2020071608,1.86
2020071609,1.83
2020071610,1.80
2020071611,1.80
2020071612,1.80
2020071613,1.79
2020071614,1.79
2020071615,1.79
2020071616,1.80
2020071617,1.78
2020071618,1.81
2020071619,1.85
2020071620,1.88
2020071621,1.88
2020071622,1.86
2020071623,1.84
2020071624,1.81
2020071701,1.77
2020071702,1.74
2020071703,1.71
2020071704,1.69
2020071705,1.68
2020071706,1.68
2020071707,1.69
2020071708,1.71
2020071709,1.72
2020071710,1.72
2020071711,1.73
2020071712,1.69
2020071713,1.67
2020071714,1.66
2020071715,1.62
2020071716,1.61
2020071717,1.56
2020071718,1.68
2020071719,1.75
2020071720,1.83
2020071721,1.89
2020071722,1.89
2020071723,1.89
2020071724,1.84
2020071801,1.80
2020071802,1.75
2020071803,1.69
2020071804,1.65
2020071805,1.64
2020071806,1.64
2020071807,1.67
2020071808,1.69
2020071809,1.71
2020071810,1.72
2020071811,1.72
2020071812,1.71
2020071813,1.68
2020071814,1.65
2020071815,1.62
2020071816,1.57
2020071817,1.55
2020071818,1.55
2020071819,1.57
2020071820,1.67
2020071821,1.74
2020071822,1.81
2020071823,1.81
2020071824,1.80
