ymdh,wl
2016070101,.81
2016070102,.81
2016070103,.80
2016070104,.80
2016070105,.80
2016070106,.80
2016070107,.80
2016070108,.80
2016070109,.80
2016070110,.80
2016070111,.80
2016070112,.80
2016070113,.80
2016070114,.81
2016070115,.84
2016070116,.85
2016070117,.91
2016070118,.96
2016070119,1.01
2016070120,1.07
2016070121,1.07
2016070122,1.12
2016070123,1.08
2016070124,1.06
2016070201,1.05
2016070202,1.01
2016070203,.99
2016070204,.98
2016070205,.97
2016070206,.97
2016070207,.99
2016070208,1.02
2016070209,1.05
2016070210,1.09
2016070211,1.08
2016070212,1.08
2016070213,1.07
2016070214,1.06
2016070215,1.05
2016070216,1.05
2016070217,1.05
2016070218,1.08
2016070219,1.12
2016070220,1.18
2016070221,1.26
2016070222,1.35
2016070223,1.35
2016070224,1.34
2016070301,1.31
2016070302,1.27
2016070303,1.23
2016070304,1.20
2016070305,1.19
2016070306,1.19
2016070307,1.19
2016070308,1.19
2016070309,1.19
2016070310,1.19
2016070311,1.19
2016070312,1.19
2016070313,1.19
2016070314,1.19
2016070315,1.46
2016070316,1.58
2016070317,1.56
2016070318,1.53
2016070319,1.52
2016070320,1.51
2016070321,1.52
2016070322,1.55
2016070323,1.58
2016070324,1.65
2016070401,1.69
2016070402,1.72
2016070403,1.76
2016070404,1.82
2016070405,1.87
2016070406,1.90
2016070407,1.91
2016070408,1.92
2016070409,1.92
2016070410,2.24
2016070411,2.15
2016070412,2.02
2016070413,1.93
2016070414,1.87
2016070415,1.82
2016070416,1.78
2016070417,1.74
2016070418,1.71
2016070419,1.69
2016070420,1.67
2016070421,1.66
2016070422,1.68
2016070423,1.74
2016070424,1.76
2016070501,1.79
2016070502,1.74
2016070503,1.69
2016070504,1.65
2016070505,1.62
2016070506,1.60
2016070507,1.58
2016070508,1.57
2016070509,1.60
2016070510,1.67
2016070511,1.73
2016070512,1.84
2016070513,1.94
2016070514,1.97
2016070515,1.98
2016070516,1.99
2016070517,2.01
2016070518,2.03
2016070519,2.05
2016070520,2.09
2016070521,2.14
2016070522,2.21
2016070523,2.31
2016070524,2.37
2016070601,2.39
2016070602,2.36
2016070603,2.32
2016070604,2.24
2016070605,2.15
2016070606,2.05
2016070607,1.97
2016070608,1.88
2016070609,1.72
2016070610,1.64
2016070611,1.62
2016070612,1.60
2016070613,1.60
2016070614,1.54
2016070615,1.42
2016070616,1.35
2016070617,1.28
2016070618,1.19
2016070619,1.18
2016070620,1.17
2016070621,1.22
2016070622,1.32
2016070623,1.43
2016070624,1.60
2016070701,1.74
2016070702,1.76
2016070703,1.78
2016070704,1.78
2016070705,1.78
2016070706,1.78
2016070707,1.79
2016070708,1.82
2016070709,1.87
2016070710,1.94
2016070711,2.03
2016070712,2.12
2016070713,2.21
2016070714,2.26
2016070715,2.31
2016070716,2.35
2016070717,2.40
2016070718,2.42
2016070719,2.45
2016070720,2.49
2016070721,2.53
2016070722,2.59
2016070723,2.67
2016070724,2.74
2016070801,2.83
2016070802,2.86
2016070803,2.89
2016070804,2.91
2016070805,2.91
2016070806,2.91
2016070807,2.89
2016070808,2.86
2016070809,2.82
2016070810,2.80
2016070811,2.75
2016070812,2.68
2016070813,2.62
2016070814,2.52
2016070815,2.42
2016070816,2.29
2016070817,2.15
2016070818,1.98
2016070819,1.71
2016070820,1.46
2016070821,1.30
2016070822,1.22
2016070823,1.15
2016070824,1.21
2016070901,1.22
2016070902,1.23
2016070903,1.25
2016070904,1.24
2016070905,1.22
2016070906,1.17
2016070907,1.13
2016070908,1.09
2016070909,1.06
2016070910,1.04
2016070911,1.03
2016070912,1.02
2016070913,1.02
2016070914,1.03
2016070915,1.02
2016070916,1.01
2016070917,.99
2016070918,.98
2016070919,.98
2016070920,.97
2016070921,.97
2016070922,.96
2016070923,.96
2016070924,.96
2016071001,.96
2016071002,.97
2016071003,1.01
2016071004,1.03
2016071005,1.00
2016071006,.98
2016071007,.96
2016071008,.95
2016071009,.94
2016071010,.94
2016071011,.94
2016071012,.94
2016071013,.94
2016071014,.94
2016071015,.97
2016071016,.98
2016071017,1.00
2016071018,.97
2016071019,.96
2016071020,.94
2016071021,.94
2016071022,.93
2016071023,.93
2016071024,.93
2016071101,.93
2016071102,.93
2016071103,.93
2016071104,.93
2016071105,.93
2016071106,.92
2016071107,.92
2016071108,.92
2016071109,.93
2016071110,.93
2016071111,.92
2016071112,.92
2016071113,.92
2016071114,.94
2016071115,.96
2016071116,.96
2016071117,.97
2016071118,.97
2016071119,.97
2016071120,.96
2016071121,.95
2016071122,.95
2016071123,.95
2016071124,.95
2016071201,.95
2016071202,.95
2016071203,.95
2016071204,.95
2016071205,.95
2016071206,.95
2016071207,.95
2016071208,.95
2016071209,.94
2016071210,.94
2016071211,.93
2016071212,.93
2016071213,.92
2016071214,.92
2016071215,.92
2016071216,.92
2016071217,.92
2016071218,.92
2016071219,.92
2016071220,.92
2016071221,.92
2016071222,.92
2016071223,.92
2016071224,.92
2016071301,.92
2016071302,.92
2016071303,.92
2016071304,.92
2016071305,.92
2016071306,.92
2016071307,.92
2016071308,.92
2016071309,.92
2016071310,.92
2016071311,.92
2016071312,.92
2016071313,.92
2016071314,.91
2016071315,.91
2016071316,.91
2016071317,.91
2016071318,.92
2016071319,.92
2016071320,.93
2016071321,.93
2016071322,.93
2016071323,.92
2016071324,.91
2016071401,.90
2016071402,.90
2016071403,.89
2016071404,.89
2016071405,.89
2016071406,.89
2016071407,.88
2016071408,.86
2016071409,.86
2016071410,.86
2016071411,.86
2016071412,.85
2016071413,.85
2016071414,.85
