ymdh,wl
2018070101,-.01
2018070102,-.03
2018070103,-.03
2018070104,-.03
2018070105,-.05
2018070106,-.05
2018070107,-.05
2018070108,-.05
2018070109,-.05
2018070110,-.05
2018070111,.06
2018070112,.24
2018070113,.41
2018070114,.50
2018070115,.50
2018070116,.46
2018070117,.42
2018070118,.40
2018070119,.38
2018070120,.43
2018070121,.46
2018070122,.49
2018070123,.49
2018070124,.49
2018070201,.50
2018070202,.54
2018070203,.59
2018070204,.59
2018070205,.59
2018070206,.57
2018070207,.55
2018070208,.54
2018070209,.51
2018070210,.51
2018070211,.54
2018070212,.71
2018070213,.75
2018070214,.73
2018070215,.65
2018070216,.63
2018070217,.61
2018070218,.57
2018070219,.55
2018070220,.61
2018070221,.72
2018070222,.79
2018070223,.81
2018070224,.81
2018070301,.86
2018070302,.84
2018070303,.78
2018070304,.74
2018070305,.69
2018070306,.67
2018070307,.64
2018070308,.61
2018070309,.59
2018070310,.57
2018070311,.55
2018070312,.54
2018070313,.52
2018070314,.50
2018070315,.48
2018070316,.46
2018070317,.44
2018070318,.44
2018070319,.42
2018070320,.41
2018070321,.39
2018070322,.37
2018070323,.37
2018070324,.39
2018070401,.40
2018070402,.38
2018070403,.36
2018070404,.34
2018070405,.32
2018070406,.32
2018070407,.30
2018070408,.30
2018070409,.28
2018070410,.28
2018070411,.28
2018070412,.28
2018070413,.26
2018070414,.26
2018070415,.24
2018070416,.24
2018070417,.24
2018070418,.24
2018070419,.23
2018070420,.22
2018070421,.22
2018070422,.22
2018070423,.22
2018070424,.20
2018070501,.20
2018070502,.20
2018070503,.18
2018070504,.18
2018070505,.16
2018070506,.16
2018070507,.16
2018070508,.16
2018070509,.15
2018070510,.15
2018070511,.15
2018070512,.15
2018070513,.14
2018070514,.14
2018070515,.14
2018070516,.13
2018070517,.13
2018070518,.13
2018070519,.13
2018070520,.11
2018070521,.11
2018070522,.11
2018070523,.11
2018070524,.11
2018070601,.11
2018070602,.11
2018070603,.11
2018070604,.11
2018070605,.11
2018070606,.10
2018070607,.10
2018070608,.10
2018070609,.09
2018070610,.09
2018070611,.09
2018070612,.09
2018070613,.08
2018070614,.08
2018070615,.08
2018070616,.08
2018070617,.08
2018070618,.06
2018070619,.06
2018070620,.06
2018070621,.06
2018070622,.06
2018070623,.06
2018070624,.06
2018070701,.06
2018070702,.04
2018070703,.04
2018070704,.04
2018070705,.04
2018070706,.04
2018070707,.04
2018070708,.04
2018070709,.04
2018070710,.04
2018070711,.04
2018070712,.04
2018070713,.03
2018070714,.03
2018070715,.03
2018070716,.03
2018070717,.03
2018070718,.03
2018070719,.03
2018070720,.03
2018070721,.01
2018070722,.01
2018070723,.01
2018070724,.01
2018070801,.01
2018070802,.01
2018070803,.01
2018070804,.01
2018070805,.01
2018070806,.01
2018070807,.01
2018070808,.01
2018070809,.01
2018070810,.01
2018070811,.01
2018070812,.01
2018070813,-.01
2018070814,-.01
2018070815,-.01
2018070816,-.01
2018070817,-.01
2018070818,-.01
2018070819,-.01
2018070820,-.01
2018070821,-.01
2018070822,-.01
2018070823,-.02
2018070824,-.02
2018070901,-.02
2018070902,-.02
2018070903,-.02
2018070904,-.02
2018070905,-.02
2018070906,-.03
2018070907,-.03
2018070908,-.03
2018070909,-.03
2018070910,-.03
2018070911,-.03
2018070912,-.03
2018070913,-.03
2018070914,-.03
2018070915,-.03
2018070916,-.02
2018070917,-.02
2018070918,-.02
2018070919,-.02
2018070920,-.02
2018070921,-.02
2018070922,-.02
2018070923,-.02
2018070924,-.02
2018071001,.01
2018071002,.16
2018071003,.30
2018071004,.36
2018071005,.39
2018071006,.35
2018071007,.31
2018071008,.29
2018071009,.27
2018071010,.22
2018071011,.19
2018071012,.15
2018071013,.13
2018071014,.12
2018071015,.11
2018071016,.10
2018071017,.09
2018071018,.08
2018071019,.06
2018071020,.06
2018071021,.06
2018071022,.06
2018071023,.05
2018071024,.05
2018071101,.05
2018071102,.05
2018071103,.05
2018071104,.06
2018071105,.07
2018071106,.07
2018071107,.08
2018071108,.10
2018071109,.12
2018071110,.16
2018071111,.16
2018071112,.16
2018071113,.14
2018071114,.14
2018071115,.14
2018071116,.14
2018071117,.14
2018071118,.14
2018071119,.13
2018071120,.11
2018071121,.11
2018071122,.11
2018071123,.10
2018071124,.10
2018071201,.09
2018071202,.09
2018071203,.09
