ymdh,rf
2016010101,0
2016010102,0
2016010103,0
2016010104,0
2016010105,0
2016010106,0
2016010107,0
2016010108,0
2016010109,0
2016010110,0
2016010111,0
2016010112,0
2016010113,0
2016010114,0
2016010115,0
2016010116,0
2016010117,0
2016010118,0
2016010119,0
2016010120,0
2016010121,0
2016010122,0
2016010123,0
2016010124,0
2016010201,0
2016010202,0
2016010203,0
2016010204,0
2016010205,0
2016010206,0
2016010207,0
2016010208,0
2016010209,0
2016010210,0
2016010211,0
2016010212,0
2016010213,0
2016010214,0
2016010215,0
2016010216,0
2016010217,0
2016010218,0
2016010219,0
2016010220,0
2016010221,0
2016010222,0
2016010223,0
2016010224,0
2016010301,0
2016010302,0
2016010303,0
2016010304,0
2016010305,0
2016010306,0
2016010307,0
2016010308,0
2016010309,0
2016010310,0
2016010311,0
2016010312,0
2016010313,0
2016010314,0
2016010315,0
2016010316,0
2016010317,0
2016010318,0
2016010319,0
2016010320,0
2016010321,0
2016010322,0
2016010323,0
2016010324,0
2016010401,0
2016010402,0
2016010403,0
2016010404,0
2016010405,0
2016010406,0
2016010407,0
2016010408,0
2016010409,0
2016010410,0
2016010411,0
2016010412,0
2016010413,0
2016010414,0
2016010415,0
2016010416,0
2016010417,0
2016010418,0
2016010419,0
2016010420,0
2016010421,0
2016010422,0
2016010423,0
2016010424,0
2016010501,0
2016010502,0
2016010503,0
2016010504,0
2016010505,0
2016010506,0
2016010507,0
2016010508,0
2016010509,0
2016010510,0
2016010511,0
2016010512,0
2016010513,0
2016010514,0
2016010515,0
2016010516,0
2016010517,0
2016010518,0
2016010519,0
2016010520,0
2016010521,0
2016010522,0
2016010523,0
2016010524,0
2016010601,0
2016010602,0
2016010603,0
2016010604,0
2016010605,0
2016010606,0
2016010607,0
2016010608,0
2016010609,0
2016010610,0
2016010611,0
2016010612,0
2016010613,0
2016010614,0
2016010615,0
2016010616,0
2016010617,0
2016010618,0
2016010619,0
2016010620,0
2016010621,0
2016010622,0
2016010623,0
2016010624,0
2016010701,0
2016010702,0
2016010703,0
2016010704,0
2016010705,0
2016010706,0
2016010707,0
2016010708,0
2016010709,0
2016010710,0
2016010711,0
2016010712,0
2016010713,0
2016010714,0
2016010715,0
2016010716,0
2016010717,0
2016010718,0
2016010719,0
2016010720,0
2016010721,0
2016010722,0
2016010723,0
2016010724,0
2016010801,0
2016010802,0
2016010803,0
2016010804,0
2016010805,0
2016010806,0
2016010807,0
2016010808,0
2016010809,0
2016010810,0
2016010811,0
2016010812,0
2016010813,0
2016010814,0
2016010815,0
2016010816,0
2016010817,0
2016010818,0
2016010819,0
2016010820,0
2016010821,0
2016010822,0
2016010823,0
2016010824,0
2016010901,0
2016010902,0
2016010903,0
2016010904,0
2016010905,0
2016010906,0
2016010907,0
2016010908,0
2016010909,0
2016010910,0
2016010911,0
2016010912,0
2016010913,0
2016010914,0
2016010915,0
2016010916,0
2016010917,0
2016010918,0
2016010919,0
2016010920,0
2016010921,0
2016010922,0
2016010923,0
2016010924,0
2016011001,0
2016011002,0
2016011003,0
2016011004,0
2016011005,0
2016011006,0
2016011007,0
2016011008,0
2016011009,0
2016011010,0
2016011011,0
2016011012,0
2016011013,0
2016011014,0
2016011015,0
2016011016,0
2016011017,0
2016011018,0
2016011019,0
2016011020,0
2016011021,0
2016011022,0
2016011023,0
2016011024,0
2016011101,0
2016011102,0
2016011103,0
2016011104,0
2016011105,0
2016011106,0
2016011107,0
2016011108,0
2016011109,0
2016011110,0
2016011111,0
2016011112,0
2016011113,0
2016011114,0
2016011115,0
2016011116,0
2016011117,0
2016011118,0
2016011119,0
2016011120,0
2016011121,0
2016011122,0
2016011123,0
2016011124,0
2016011201,0
2016011202,0
2016011203,0
2016011204,0
2016011205,0
2016011206,0
2016011207,0
2016011208,0
2016011209,0
2016011210,0
2016011211,0
2016011212,0
2016011213,0
2016011214,0
2016011215,0
2016011216,0
2016011217,0
2016011218,0
2016011219,0
2016011220,0
2016011221,0
2016011222,0
2016011223,0
2016011224,0
2016011301,0
2016011302,0
2016011303,0
2016011304,0
2016011305,0
2016011306,0
2016011307,0
2016011308,0
2016011309,0
2016011310,0
2016011311,0
2016011312,0
2016011313,0
2016011314,0
2016011315,0
2016011316,0
2016011317,0
2016011318,0
2016011319,0
2016011320,0
2016011321,0
2016011322,0
2016011323,0
2016011324,0
2016011401,0
2016011402,0
2016011403,0
2016011404,0
2016011405,0
2016011406,0
2016011407,0
2016011408,0
2016011409,0
2016011410,0
2016011411,0
2016011412,0
2016011413,0
2016011414,0
2016011415,0
2016011416,0
2016011417,0
2016011418,0
2016011419,0
2016011420,0
2016011421,0
2016011422,0
2016011423,0
2016011424,0
2016011501,0
2016011502,0
2016011503,0
2016011504,0
2016011505,0
2016011506,0
2016011507,0
2016011508,0
2016011509,0
2016011510,0
2016011511,0
2016011512,0
2016011513,0
2016011514,0
2016011515,0
2016011516,0
2016011517,0
2016011518,0
2016011519,0
2016011520,0
2016011521,0
2016011522,0
2016011523,0
2016011524,0
2016011601,0
2016011602,0
2016011603,0
2016011604,0
2016011605,0
2016011606,0
2016011607,0
2016011608,0
2016011609,0
2016011610,0
2016011611,0
2016011612,0
2016011613,0
2016011614,0
2016011615,0
2016011616,0
2016011617,0
2016011618,0
2016011619,0
2016011620,0
2016011621,0
2016011622,0
2016011623,0
2016011624,0
2016011701,0
2016011702,0
2016011703,0
2016011704,0
2016011705,0
2016011706,0
2016011707,0
2016011708,0
2016011709,0
2016011710,0
2016011711,0
2016011712,0
