ymdh,wl
2019070101,.21
2019070102,.21
2019070103,.21
2019070104,.21
2019070105,.21
2019070106,.21
2019070107,.21
2019070108,.21
2019070109,.21
2019070110,.21
2019070111,.21
2019070112,.21
2019070113,.21
2019070114,.21
2019070115,.21
2019070116,.21
2019070117,.21
2019070118,.21
2019070119,.20
2019070120,.20
2019070121,.20
2019070122,.20
2019070123,.20
2019070124,.20
2019070201,.20
2019070202,.20
2019070203,.20
2019070204,.20
2019070205,.20
2019070206,.20
2019070207,.20
2019070208,.20
2019070209,.20
2019070210,.20
2019070211,.20
2019070212,.20
2019070213,.20
2019070214,.20
2019070215,.20
2019070216,.20
2019070217,.20
2019070218,.20
2019070219,.20
2019070220,.20
2019070221,.20
2019070222,.20
2019070223,.20
2019070224,.20
2019070301,.20
2019070302,.20
2019070303,.20
2019070304,.20
2019070305,.20
2019070306,.20
2019070307,.20
2019070308,.20
2019070309,.20
2019070310,.20
2019070311,.20
2019070312,.20
2019070313,.20
2019070314,.20
2019070315,.20
2019070316,.20
2019070317,.20
2019070318,.20
2019070319,.20
2019070320,.20
2019070321,.20
2019070322,.20
2019070323,.20
2019070324,.20
2019070401,.20
2019070402,.20
2019070403,.20
2019070404,.20
2019070405,.20
2019070406,.20
2019070407,.20
2019070408,.21
2019070409,.20
2019070410,.21
2019070411,.20
2019070412,.20
2019070413,.21
2019070414,.21
2019070415,.21
2019070416,.20
2019070417,.20
2019070418,.20
2019070419,.20
2019070420,.20
2019070421,.20
2019070422,.20
2019070423,.20
2019070424,.20
2019070501,.20
2019070502,.20
2019070503,.20
2019070504,.20
2019070505,.20
2019070506,.20
2019070507,.20
2019070508,.20
2019070509,.20
2019070510,.20
2019070511,.20
2019070512,.20
2019070513,.21
2019070514,.21
2019070515,.21
2019070516,.20
2019070517,.20
2019070518,.21
2019070519,.20
2019070520,.20
2019070521,.20
2019070522,.20
2019070523,.20
2019070524,.20
2019070601,.20
2019070602,.20
2019070603,.20
2019070604,.20
2019070605,.20
2019070606,.20
2019070607,.20
2019070608,.20
2019070609,.20
2019070610,.20
2019070611,.20
2019070612,.20
2019070613,.20
2019070614,.20
2019070615,.20
2019070616,.20
2019070617,.20
2019070618,.20
2019070619,.20
2019070620,.20
2019070621,.20
2019070622,.20
2019070623,.20
