ymdh,rf
2019010101,0
2019010102,0
2019010103,0
2019010104,0
2019010105,0
2019010106,0
2019010107,0
2019010108,0
2019010109,0
2019010110,0
2019010111,0
2019010112,0
2019010113,0
2019010114,0
2019010115,0
2019010116,0
2019010117,0
2019010118,0
2019010119,0
2019010120,0
2019010121,0
2019010122,0
2019010123,0
2019010124,0
2019010201,0
2019010202,0
2019010203,0
2019010204,0
2019010205,0
2019010206,0
2019010207,0
2019010208,0
2019010209,0
2019010210,0
2019010211,0
2019010212,0
2019010213,0
2019010214,0
2019010215,0
2019010216,0
2019010217,0
2019010218,0
2019010219,0
2019010220,0
2019010221,0
2019010222,0
2019010223,0
2019010224,0
2019010301,0
2019010302,0
2019010303,0
2019010304,0
2019010305,0
2019010306,0
2019010307,0
2019010308,0
2019010309,0
2019010310,0
2019010311,0
2019010312,0
2019010313,0
2019010314,0
2019010315,0
2019010316,0
2019010317,0
2019010318,0
2019010319,0
2019010320,0
2019010321,0
2019010322,0
2019010323,0
2019010324,0
2019010401,0
2019010402,0
2019010403,0
2019010404,0
2019010405,0
2019010406,0
2019010407,0
2019010408,0
2019010409,0
2019010410,0
2019010411,0
2019010412,0
2019010413,0
2019010414,0
2019010415,0
2019010416,0
2019010417,0
2019010418,0
2019010419,0
2019010420,0
2019010421,0
2019010422,0
2019010423,0
2019010424,0
2019010501,0
2019010502,0
2019010503,0
2019010504,0
2019010505,0
2019010506,0
2019010507,0
2019010508,0
2019010509,0
2019010510,0
2019010511,0
2019010512,0
2019010513,0
2019010514,0
2019010515,0
2019010516,0
2019010517,0
2019010518,0
2019010519,0
2019010520,0
2019010521,0
2019010522,0
2019010523,0
2019010524,0
2019010601,0
2019010602,0
2019010603,0
2019010604,0
2019010605,0
2019010606,0
2019010607,0
2019010608,0
2019010609,0
2019010610,0
2019010611,0
2019010612,0
2019010613,0
2019010614,0
2019010615,0
2019010616,0
2019010617,0
2019010618,0
2019010619,0
2019010620,0
2019010621,0
2019010622,0
2019010623,0
2019010624,0
2019010701,0
2019010702,0
2019010703,0
2019010704,0
2019010705,0
2019010706,0
2019010707,0
2019010708,0
2019010709,0
2019010710,0
2019010711,0
2019010712,0
2019010713,0
2019010714,0
2019010715,0
2019010716,0
2019010717,0
2019010718,0
2019010719,0
2019010720,0
2019010721,0
2019010722,0
2019010723,0
2019010724,0
2019010801,0
2019010802,0
2019010803,0
2019010804,0
2019010805,0
2019010806,0
2019010807,0
2019010808,0
2019010809,0
2019010810,0
2019010811,0
2019010812,0
2019010813,0
2019010814,0
2019010815,0
2019010816,0
2019010817,0
2019010818,0
2019010819,0
2019010820,0
2019010821,0
2019010822,0
2019010823,0
2019010824,0
2019010901,0
2019010902,0
2019010903,0
2019010904,0
2019010905,0
2019010906,0
2019010907,0
2019010908,0
2019010909,0
2019010910,0
2019010911,0
2019010912,0
2019010913,0
2019010914,0
2019010915,0
2019010916,0
2019010917,0
2019010918,0
2019010919,0
2019010920,0
2019010921,0
2019010922,0
2019010923,0
2019010924,0
2019011001,0
2019011002,0
2019011003,0
2019011004,0
2019011005,0
2019011006,0
2019011007,0
2019011008,0
2019011009,0
2019011010,0
2019011011,0
2019011012,0
2019011013,0
2019011014,0
2019011015,0
2019011016,0
2019011017,0
2019011018,0
2019011019,0
2019011020,0
2019011021,0
2019011022,0
2019011023,0
2019011024,0
2019011101,0
2019011102,0
2019011103,0
2019011104,0
2019011105,0
2019011106,0
2019011107,0
2019011108,0
2019011109,0
2019011110,0
2019011111,0
2019011112,0
2019011113,0
2019011114,0
2019011115,0
2019011116,0
2019011117,0
2019011118,0
2019011119,0
2019011120,0
2019011121,0
2019011122,0
2019011123,0
2019011124,0
2019011201,0
2019011202,0
2019011203,0
2019011204,0
2019011205,1
2019011206,0
2019011207,0
2019011208,0
2019011209,0
2019011210,0
2019011211,0
2019011212,0
2019011213,0
2019011214,0
2019011215,0
2019011216,0
2019011217,0
2019011218,0
2019011219,0
2019011220,0
2019011221,0
2019011222,0
2019011223,0
2019011224,0
2019011301,0
2019011302,0
2019011303,0
2019011304,0
2019011305,0
2019011306,0
2019011307,0
2019011308,0
2019011309,0
2019011310,0
2019011311,0
2019011312,0
2019011313,0
2019011314,0
2019011315,0
2019011316,0
2019011317,0
2019011318,0
2019011319,0
2019011320,0
2019011321,0
2019011322,0
2019011323,0
2019011324,0
2019011401,0
2019011402,0
2019011403,0
2019011404,0
2019011405,0
2019011406,0
2019011407,0
2019011408,0
2019011409,0
2019011410,0
2019011411,0
2019011412,0
2019011413,0
2019011414,0
2019011415,0
2019011416,0
2019011417,0
2019011418,0
2019011419,0
2019011420,0
2019011421,0
2019011422,0
2019011423,0
2019011424,0
2019011501,0
2019011502,0
2019011503,0
2019011504,0
2019011505,0
2019011506,0
