ymdh,rf
2018070101,2
2018070102,2
2018070103,8
2018070104,9
2018070105,13
2018070106,19
2018070107,6
2018070108,0
2018070109,0
2018070110,0
2018070111,0
2018070112,0
2018070113,0
2018070114,0
2018070115,0
2018070116,0
2018070117,0
2018070118,0
2018070119,0
2018070120,0
2018070121,0
2018070122,0
2018070123,0
2018070124,0
2018070201,0
2018070202,0
2018070203,0
2018070204,1
2018070205,3
2018070206,2
2018070207,1
2018070208,1
2018070209,4
2018070210,8
2018070211,2
2018070212,0
2018070213,0
2018070214,0
2018070215,0
2018070216,0
2018070217,0
2018070218,0
2018070219,0
2018070220,0
2018070221,0
2018070222,0
2018070223,0
2018070224,1
2018070301,0
2018070302,0
2018070303,0
2018070304,0
2018070305,0
2018070306,1
2018070307,1
2018070308,0
2018070309,0
2018070310,1
2018070311,1
2018070312,2
2018070313,2
2018070314,1
2018070315,3
2018070316,6
2018070317,7
2018070318,3
2018070319,0
2018070320,1
2018070321,0
2018070322,0
2018070323,0
2018070324,0
2018070401,0
2018070402,0
2018070403,0
2018070404,0
2018070405,0
2018070406,0
2018070407,0
2018070408,0
2018070409,0
2018070410,0
2018070411,0
2018070412,0
2018070413,0
2018070414,0
2018070415,0
2018070416,0
2018070417,0
2018070418,0
2018070419,0
2018070420,0
2018070421,0
2018070422,0
2018070423,0
2018070424,0
2018070501,0
2018070502,0
2018070503,0
2018070504,0
2018070505,0
2018070506,1
2018070507,3
2018070508,2
2018070509,4
2018070510,6
2018070511,13
2018070512,18
2018070513,3
2018070514,0
2018070515,0
2018070516,0
2018070517,0
2018070518,0
2018070519,0
2018070520,1
2018070521,0
2018070522,1
2018070523,0
2018070524,0
2018070601,0
2018070602,0
2018070603,0
2018070604,0
2018070605,0
2018070606,0
2018070607,0
2018070608,0
2018070609,0
2018070610,0
2018070611,0
2018070612,0
2018070613,0
2018070614,0
2018070615,0
2018070616,0
2018070617,0
2018070618,0
2018070619,0
2018070620,0
2018070621,0
2018070622,0
2018070623,0
2018070624,0
2018070701,0
2018070702,0
2018070703,0
2018070704,0
2018070705,0
2018070706,0
2018070707,0
2018070708,0
2018070709,0
2018070710,0
2018070711,0
2018070712,0
2018070713,0
2018070714,0
2018070715,0
2018070716,0
2018070717,0
2018070718,0
2018070719,0
2018070720,0
2018070721,0
2018070722,0
2018070723,0
2018070724,0
2018070801,0
2018070802,0
2018070803,0
2018070804,0
2018070805,0
2018070806,0
2018070807,0
2018070808,0
2018070809,0
2018070810,0
2018070811,0
2018070812,0
2018070813,0
2018070814,0
2018070815,0
2018070816,0
2018070817,0
2018070818,0
2018070819,0
2018070820,0
2018070821,0
2018070822,0
2018070823,0
2018070824,0
2018070901,0
2018070902,0
2018070903,0
2018070904,0
2018070905,0
2018070906,0
2018070907,0
2018070908,0
2018070909,0
2018070910,4
2018070911,0
2018070912,0
2018070913,2
2018070914,1
2018070915,0
2018070916,0
2018070917,1
2018070918,0
2018070919,0
2018070920,0
2018070921,0
2018070922,0
2018070923,0
2018070924,0
2018071001,0
2018071002,0
2018071003,0
2018071004,0
2018071005,0
2018071006,0
2018071007,0
2018071008,0
2018071009,0
2018071010,0
2018071011,0
2018071012,0
2018071013,0
2018071014,0
2018071015,0
2018071016,0
2018071017,0
2018071018,0
2018071019,0
