ymdh,wl
2017070101,1.60
2017070102,1.59
2017070103,1.60
2017070104,1.63
2017070105,1.60
2017070106,1.58
2017070107,1.55
2017070108,1.54
2017070109,1.48
2017070110,1.48
2017070111,1.49
2017070112,1.48
2017070113,1.49
2017070114,1.46
2017070115,1.47
2017070116,1.48
2017070117,1.49
2017070118,1.49
2017070119,1.48
2017070120,1.49
2017070121,1.49
2017070122,1.48
2017070123,1.54
2017070124,1.57
2017070201,1.57
2017070202,1.61
2017070203,1.61
2017070204,1.56
2017070205,1.57
2017070206,1.59
2017070207,1.54
2017070208,1.58
2017070209,1.56
2017070210,1.51
2017070211,1.53
2017070212,1.54
2017070213,1.56
2017070214,1.57
2017070215,1.58
2017070216,1.59
2017070217,1.56
2017070218,1.56
2017070219,1.53
2017070220,1.49
2017070221,1.51
2017070222,1.51
2017070223,1.51
2017070224,1.54
2017070301,1.51
2017070302,1.51
2017070303,1.55
2017070304,1.54
2017070305,1.55
2017070306,1.58
2017070307,1.56
2017070308,1.57
2017070309,1.56
2017070310,1.56
2017070311,1.56
2017070312,1.56
2017070313,1.54
2017070314,1.51
2017070315,1.49
2017070316,1.48
2017070317,1.48
2017070318,1.48
2017070319,1.49
2017070320,1.55
2017070321,1.63
2017070322,1.62
2017070323,1.57
2017070324,1.61
2017070401,1.61
2017070402,1.60
2017070403,1.61
2017070404,1.61
2017070405,1.63
2017070406,1.67
2017070407,1.69
2017070408,1.68
2017070409,1.66
2017070410,1.70
2017070411,1.76
2017070412,1.73
2017070413,1.63
2017070414,1.53
2017070415,1.53
2017070416,1.60
2017070417,1.67
2017070418,1.65
2017070419,1.67
2017070420,1.74
2017070421,1.81
2017070422,1.79
2017070423,1.71
2017070424,1.62
2017070501,1.58
2017070502,1.47
2017070503,1.46
2017070504,1.50
2017070505,1.51
2017070506,1.54
2017070507,1.54
2017070508,1.50
2017070509,1.51
2017070510,1.47
2017070511,1.44
2017070512,1.48
2017070513,1.49
2017070514,1.49
2017070515,1.51
2017070516,1.51
2017070517,1.48
2017070518,1.46
2017070519,1.49
2017070520,1.54
2017070521,1.54
2017070522,1.56
2017070523,1.50
2017070524,1.47
2017070601,1.55
2017070602,1.58
2017070603,1.58
2017070604,1.55
2017070605,1.52
2017070606,1.49
2017070607,1.48
2017070608,1.51
2017070609,1.51
2017070610,1.56
2017070611,1.50
2017070612,1.46
2017070613,1.45
2017070614,1.50
2017070615,1.54
2017070616,1.55
2017070617,1.46
2017070618,1.53
2017070619,1.58
2017070620,1.59
2017070621,1.61
2017070622,1.60
2017070623,1.58
2017070624,1.58
2017070701,1.57
2017070702,1.54
2017070703,1.55
2017070704,1.54
2017070705,1.53
2017070706,1.54
2017070707,1.52
2017070708,1.55
2017070709,1.56
2017070710,1.55
2017070711,1.54
2017070712,1.54
2017070713,1.54
2017070714,1.50
2017070715,1.54
2017070716,1.50
2017070717,1.49
2017070718,1.49
2017070719,1.52
2017070720,1.59
2017070721,1.59
2017070722,1.63
2017070723,1.63
2017070724,1.61
2017070801,1.60
2017070802,1.58
2017070803,1.56
2017070804,1.53
2017070805,1.51
2017070806,1.47
2017070807,1.48
2017070808,1.53
2017070809,1.55
2017070810,1.60
2017070811,1.55
2017070812,1.50
2017070813,1.57
2017070814,1.57
2017070815,1.59
2017070816,1.56
2017070817,1.54
2017070818,1.47
2017070819,1.49
2017070820,1.55
2017070821,1.63
2017070822,1.65
2017070823,1.70
2017070824,1.69
2017070901,1.65
2017070902,1.62
2017070903,1.58
2017070904,1.54
2017070905,1.52
2017070906,1.51
2017070907,1.51
2017070908,1.52
2017070909,1.57
2017070910,1.55
2017070911,1.65
2017070912,1.59
2017070913,1.57
2017070914,1.51
2017070915,1.51
2017070916,1.51
2017070917,1.50
2017070918,1.50
2017070919,1.49
2017070920,1.46
2017070921,1.51
2017070922,1.64
2017070923,1.66
2017070924,1.68
2017071001,1.70
2017071002,1.67
2017071003,1.67
2017071004,1.60
2017071005,1.58
2017071006,1.52
2017071007,1.47
2017071008,1.37
2017071009,1.45
2017071010,1.46
2017071011,1.51
2017071012,1.50
2017071013,1.49
2017071014,1.49
2017071015,1.53
2017071016,1.53
2017071017,1.53
2017071018,1.52
2017071019,1.51
2017071020,1.52
2017071021,1.57
2017071022,1.59
2017071023,1.62
2017071024,1.62
2017071101,1.63
2017071102,1.62
2017071103,1.59
2017071104,1.56
2017071105,1.50
2017071106,1.49
2017071107,1.46
2017071108,1.41
2017071109,1.46
2017071110,1.47
2017071111,1.54
2017071112,1.59
2017071113,1.60
2017071114,1.57
2017071115,1.50
2017071116,1.43
2017071117,1.46
2017071118,1.44
2017071119,1.51
2017071120,1.53
2017071121,1.55
2017071122,1.55
2017071123,1.60
2017071124,1.64
2017071201,1.69
2017071202,1.72
2017071203,1.64
2017071204,1.60
2017071205,1.52
2017071206,1.44
2017071207,1.39
2017071208,1.34
2017071209,1.38
2017071210,1.39
2017071211,1.48
2017071212,1.49
2017071213,1.47
2017071214,1.51
2017071215,1.48
2017071216,1.48
2017071217,1.38
2017071218,1.37
2017071219,1.46
2017071220,1.47
2017071221,1.52
2017071222,1.46
2017071223,1.46
2017071224,1.51
2017071301,1.51
2017071302,1.53
2017071303,1.52
2017071304,1.49
2017071305,1.49
2017071306,1.50
2017071307,1.50
2017071308,1.45
2017071309,1.43
2017071310,1.43
2017071311,1.49
2017071312,1.53
2017071313,1.54
2017071314,1.58
2017071315,1.57
2017071316,1.57
2017071317,1.48
2017071318,1.50
2017071319,1.51
2017071320,1.47
2017071321,1.47
2017071322,1.46
2017071323,1.52
2017071324,1.57
2017071401,1.61
2017071402,1.59
2017071403,1.63
2017071404,1.62
