ymdh,wl
2020070101,1.47
2020070102,1.43
2020070103,1.41
2020070104,1.39
2020070105,1.37
2020070106,1.36
2020070107,1.35
2020070108,1.35
2020070109,1.32
2020070110,1.31
2020070111,1.29
2020070112,1.27
2020070113,1.27
2020070114,1.25
2020070115,1.23
2020070116,1.23
2020070117,1.21
2020070118,1.21
2020070119,1.21
2020070120,1.23
2020070121,1.23
2020070122,1.23
2020070123,1.19
2020070124,1.17
2020070201,1.15
2020070202,1.13
2020070203,1.12
2020070204,1.11
2020070205,1.11
2020070206,1.10
2020070207,1.10
2020070208,1.10
2020070209,1.10
2020070210,1.10
2020070211,1.09
2020070212,1.09
2020070213,1.07
2020070214,1.05
2020070215,1.05
2020070216,1.05
2020070217,1.05
2020070218,1.05
2020070219,1.03
2020070220,1.01
2020070221,.97
2020070222,.97
2020070223,.96
2020070224,.93
2020070301,.91
2020070302,.89
2020070303,.87
2020070304,.87
2020070305,.92
2020070306,.95
2020070307,.96
2020070308,.96
2020070309,.97
2020070310,.97
2020070311,.97
2020070312,.97
2020070313,.91
2020070314,.89
2020070315,.87
2020070316,.87
2020070317,.90
2020070318,.90
2020070319,.87
2020070320,.90
2020070321,.97
2020070322,1.01
2020070323,1.07
2020070324,1.03
2020070401,.95
2020070402,.93
2020070403,.87
2020070404,.85
2020070405,.83
2020070406,.86
2020070407,.86
2020070408,.91
2020070409,.91
2020070410,.97
2020070411,1.03
2020070412,1.03
2020070413,1.01
2020070414,1.01
2020070415,.99
2020070416,.99
2020070417,.99
2020070418,.99
2020070419,.99
2020070420,.99
2020070421,.99
2020070422,.99
2020070423,1.00
2020070424,1.03
2020070501,1.01
2020070502,1.01
2020070503,.99
2020070504,.99
2020070505,.97
2020070506,.97
2020070507,.97
2020070508,.97
2020070509,.97
2020070510,.97
2020070511,.97
2020070512,.97
2020070513,.97
2020070514,1.00
2020070515,.97
2020070516,.97
2020070517,.97
2020070518,.97
2020070519,.97
2020070520,.95
2020070521,.95
2020070522,.97
2020070523,.99
2020070524,1.03
2020070601,1.05
2020070602,1.01
2020070603,.99
2020070604,.97
2020070605,.97
2020070606,.97
2020070607,.95
2020070608,.92
2020070609,.91
2020070610,.91
2020070611,.99
2020070612,1.00
2020070613,1.02
2020070614,1.00
2020070615,.97
2020070616,.93
2020070617,.92
2020070618,.91
2020070619,.90
2020070620,.90
2020070621,.90
2020070622,.91
2020070623,.91
2020070624,.91
2020070701,.93
2020070702,.92
2020070703,.92
2020070704,.95
2020070705,.97
2020070706,1.01
2020070707,1.05
2020070708,.99
2020070709,.92
2020070710,.92
2020070711,.95
2020070712,1.03
2020070713,1.07
2020070714,1.01
2020070715,.99
2020070716,.98
2020070717,.97
2020070718,.95
2020070719,.91
2020070720,.89
2020070721,.89
2020070722,.89
2020070723,.97
2020070724,.97
2020070801,.97
2020070802,1.02
2020070803,1.00
2020070804,.97
2020070805,.97
2020070806,.92
2020070807,.92
2020070808,.92
2020070809,.95
2020070810,1.00
2020070811,1.03
2020070812,1.09
2020070813,1.15
2020070814,1.19
2020070815,1.21
2020070816,1.21
2020070817,1.21
2020070818,1.25
2020070819,1.67
2020070820,1.82
2020070821,1.61
2020070822,1.41
2020070823,1.29
2020070824,1.25
2020070901,1.21
2020070902,1.20
2020070903,1.19
2020070904,1.17
2020070905,1.17
2020070906,1.15
2020070907,1.15
2020070908,1.12
2020070909,1.11
2020070910,1.10
2020070911,1.09
2020070912,1.09
2020070913,1.09
2020070914,1.07
2020070915,1.07
2020070916,1.07
2020070917,1.05
2020070918,1.05
2020070919,1.05
2020070920,1.05
2020070921,1.05
2020070922,1.05
2020070923,1.03
2020070924,1.03
2020071001,1.03
2020071002,1.05
2020071003,1.07
2020071004,1.05
2020071005,1.05
2020071006,1.05
2020071007,1.03
2020071008,1.03
2020071009,1.03
2020071010,1.05
2020071011,1.09
2020071012,1.11
2020071013,1.17
2020071014,1.21
2020071015,1.25
2020071016,1.19
2020071017,1.19
2020071018,1.19
2020071019,1.15
2020071020,1.13
2020071021,1.13
2020071022,1.13
2020071023,1.15
2020071024,1.20
2020071101,1.23
2020071102,1.45
2020071103,1.49
2020071104,1.45
2020071105,1.42
2020071106,1.39
2020071107,1.39
2020071108,1.37
2020071109,1.37
2020071110,1.35
2020071111,1.35
2020071112,1.35
2020071113,1.35
2020071114,1.33
2020071115,1.32
2020071116,1.31
2020071117,1.30
2020071118,1.29
2020071119,1.27
2020071120,1.27
2020071121,1.27
2020071122,1.25
2020071123,1.25
2020071124,1.25
2020071201,1.23
2020071202,1.23
2020071203,1.23
2020071204,1.23
2020071205,1.23
2020071206,1.23
2020071207,1.21
2020071208,1.19
2020071209,1.19
2020071210,1.17
2020071211,1.17
2020071212,1.15
2020071213,1.15
2020071214,1.15
2020071215,1.15
2020071216,1.15
2020071217,1.15
2020071218,1.15
2020071219,1.15
2020071220,1.15
2020071221,1.15
2020071222,1.17
2020071223,1.20
2020071224,1.23
2020071301,1.25
2020071302,1.29
2020071303,1.32
2020071304,1.36
2020071305,1.40
2020071306,1.45
2020071307,1.50
2020071308,1.59
2020071309,1.71
2020071310,1.87
2020071311,2.09
2020071312,2.42
2020071313,2.79
2020071314,3.25
2020071315,3.88
2020071316,4.36
2020071317,4.52
2020071318,4.57
2020071319,4.52
2020071320,4.43
2020071321,4.37
2020071322,4.33
2020071323,4.32
2020071324,4.33
2020071401,4.35
2020071402,4.42
2020071403,4.49
2020071404,4.56
2020071405,4.62
2020071406,4.67
2020071407,4.72
2020071408,4.73
2020071409,4.75
2020071410,4.75
2020071411,4.75
2020071412,4.75
2020071413,4.71
2020071414,4.69
2020071415,4.65
2020071416,4.60
2020071417,4.55
2020071418,4.52
2020071419,4.45
2020071420,4.39
2020071421,4.33
2020071422,4.27
2020071423,4.19
2020071424,4.11
2020071501,4.03
2020071502,3.95
2020071503,3.87
2020071504,3.79
2020071505,3.69
2020071506,3.61
2020071507,3.52
2020071508,3.42
2020071509,3.30
2020071510,3.20
2020071511,3.09
2020071512,2.98
2020071513,2.87
2020071514,2.75
2020071515,2.63
2020071516,2.51
2020071517,2.41
2020071518,2.33
2020071519,2.23
2020071520,2.15
2020071521,2.07
2020071522,2.02
2020071523,1.97
2020071524,1.92
2020071601,1.89
2020071602,1.85
2020071603,1.83
2020071604,1.81
2020071605,1.81
2020071606,1.79
2020071607,1.79
2020071608,1.78
2020071609,1.77
2020071610,1.77
2020071611,1.75
2020071612,1.75
2020071613,1.72
2020071614,1.70
2020071615,1.67
2020071616,1.67
2020071617,1.67
2020071618,1.67
2020071619,1.67
2020071620,1.67
2020071621,1.67
2020071622,1.67
2020071623,1.67
2020071624,1.67
2020071701,1.65
2020071702,1.65
2020071703,1.65
2020071704,1.63
2020071705,1.63
2020071706,1.63
2020071707,1.61
2020071708,1.61
2020071709,1.60
2020071710,1.60
2020071711,1.59
2020071712,1.59
2020071713,1.59
2020071714,1.59
2020071715,1.55
2020071716,1.55
2020071717,1.53
2020071718,1.53
2020071719,1.53
2020071720,1.55
2020071721,1.55
2020071722,1.55
2020071723,1.55
2020071724,1.52
2020071801,1.49
2020071802,1.45
2020071803,1.41
2020071804,1.39
2020071805,1.37
2020071806,1.36
2020071807,1.35
2020071808,1.35
2020071809,1.33
2020071810,1.33
2020071811,1.33
2020071812,1.32
2020071813,1.32
2020071814,1.31
2020071815,1.31
2020071816,1.31
2020071817,1.30
2020071818,1.30
2020071819,1.30
2020071820,1.29
2020071821,1.29
2020071822,1.29
2020071823,1.31
2020071824,1.31
2020071901,1.31
2020071902,1.30
2020071903,1.30
2020071904,1.30
2020071905,1.29
2020071906,1.29
2020071907,1.29
2020071908,1.29
2020071909,1.29
2020071910,1.29
2020071911,1.29
2020071912,1.20
2020071913,1.11
2020071914,1.07
2020071915,1.07
2020071916,1.11
2020071917,1.17
2020071918,1.19
2020071919,1.21
2020071920,1.21
2020071921,1.23
2020071922,1.25
2020071923,1.27
2020071924,1.27
2020072001,1.27
2020072002,1.27
2020072003,1.27
2020072004,1.27
2020072005,1.25
2020072006,1.25
2020072007,1.25
2020072008,1.25
2020072009,1.25
2020072010,1.25
2020072011,1.29
2020072012,1.32
2020072013,1.29
2020072014,1.27
2020072015,1.25
2020072016,1.25
2020072017,1.23
2020072018,1.23
2020072019,1.23
2020072020,1.23
2020072021,1.23
2020072022,1.23
2020072023,1.25
2020072024,1.30
2020072101,1.30
2020072102,1.27
